,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
1,BindingDB_IC50,16,0,adkt,0.9044266894821396,0.882281740673585,0.8328532798787327,0.8822805350873808,1.36236572265625
6,BindingDB_IC50,16,1,adkt,0.8949123860607135,0.8646488368504301,0.8053600820712943,0.8646488368504301,1.4771318435668945
11,BindingDB_IC50,16,2,adkt,0.9065275224682269,0.8869292754909147,0.848721020933749,0.8869292754909146,1.1315512657165527
16,BindingDB_IC50,16,3,adkt,0.8608608134930551,0.8521866922572432,0.8286718012366157,0.8521866922572432,1.1006097793579102
21,BindingDB_IC50,16,4,adkt,0.9012551635341735,0.8824637841904247,0.8378741488989364,0.8824637841904248,0.9619989395141602
26,BindingDB_IC50,16,5,adkt,0.8957747400814465,0.8767336329616914,0.8411201289737885,0.8767348385478954,0.8836610317230225
31,BindingDB_IC50,16,6,adkt,0.9037199799884689,0.8827193684657226,0.8337592375747501,0.882720574051927,1.4629850387573242
36,BindingDB_IC50,16,7,adkt,0.8873507002991076,0.8785130781991437,0.8463342405868953,0.8785130781991435,1.294240951538086
41,BindingDB_IC50,16,8,adkt,0.8776890445384672,0.8509172099841827,0.8088319772406692,0.8509172099841826,1.2424545288085938
46,BindingDB_IC50,16,9,adkt,0.8943330150402764,0.8775027969599939,0.8418689061061032,0.8775027969599938,1.3967394828796387
51,BindingDB_IC50,16,0,adkt,0.6467190981209696,0.6608974412211712,0.6619514815053787,0.6608974412211711,1.026871681213379
56,BindingDB_IC50,16,1,adkt,0.6950291475538799,0.6693768738217243,0.6181710038472084,0.6693768738217243,0.748786211013794
61,BindingDB_IC50,16,2,adkt,0.6518285753909572,0.6494863340780175,0.6291620305784879,0.6494863340780174,1.2098286151885986
66,BindingDB_IC50,16,3,adkt,0.680267467711118,0.7241402220764229,0.759712360400639,0.7241402220764228,0.8331456184387207
71,BindingDB_IC50,16,4,adkt,0.7079902967499183,0.7324701641903844,0.7379142697159342,0.7324701641903845,0.8143963813781738
76,BindingDB_IC50,16,5,adkt,0.7192545162068729,0.7012017374116553,0.6614438848208488,0.7012017374116554,0.8354806900024414
81,BindingDB_IC50,16,6,adkt,0.5581215173983556,0.5044888671112624,0.5145240241942681,0.5044888671112625,0.7521674633026123
86,BindingDB_IC50,16,7,adkt,0.6659652352956077,0.7056532319012699,0.707454773570102,0.7056532319012698,0.80426025390625
91,BindingDB_IC50,16,8,adkt,0.65979858304665,0.7093738840119923,0.7437617812596142,0.7093738840119924,1.3263988494873047
96,BindingDB_IC50,16,9,adkt,0.6771447379174649,0.7161009559086114,0.7459356915913371,0.7161009559086114,0.7791252136230469
101,BindingDB_IC50,16,0,adkt,0.6679740006370442,0.8205128205128205,0.9454274229679388,0.8205128205128205,0.24285531044006348
106,BindingDB_IC50,16,1,adkt,0.37328801495784414,0.7589743589743589,0.9363883241957929,0.758974358974359,0.23488163948059082
111,BindingDB_IC50,16,2,adkt,0.5371561467727888,0.7,0.8725704290628169,0.7,0.23511815071105957
116,BindingDB_IC50,16,3,adkt,0.7053030303030303,0.8666666666666666,0.9588720826776377,0.8666666666666667,0.3420674800872803
121,BindingDB_IC50,16,4,adkt,0.7973359973359974,0.9051282051282052,0.9734336244425181,0.9051282051282051,0.3263063430786133
