,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
3,BindingDB_Ki,16,0,adkt,0.6674346147074007,0.7381987577639751,0.7410233015028644,0.738198757763975,0.5901305675506592
8,BindingDB_Ki,16,1,adkt,0.6350854814627156,0.6695652173913044,0.6541740111815701,0.6695652173913043,0.5990722179412842
13,BindingDB_Ki,16,2,adkt,0.7235194532435122,0.7105590062111801,0.6646329326322555,0.7106625258799172,0.45237231254577637
18,BindingDB_Ki,16,3,adkt,0.6960535398425315,0.7421325051759834,0.7486948439539111,0.7421325051759835,0.3940622806549072
23,BindingDB_Ki,16,4,adkt,0.6790319139160552,0.718944099378882,0.7002869217182685,0.719047619047619,0.4110743999481201
28,BindingDB_Ki,16,5,adkt,0.6331823952729251,0.6624223602484471,0.6277896009609734,0.6624223602484473,0.5719218254089355
33,BindingDB_Ki,16,6,adkt,0.7662443440987546,0.7791925465838508,0.744732785154797,0.779192546583851,0.49837660789489746
38,BindingDB_Ki,16,7,adkt,0.6084463691204762,0.6575569358178054,0.637602601566937,0.6575569358178054,0.41835522651672363
43,BindingDB_Ki,16,8,adkt,0.6622097980716287,0.6925465838509316,0.6673925574602286,0.6925465838509317,0.9823963642120361
48,BindingDB_Ki,16,9,adkt,0.6903619710720432,0.7395445134575569,0.7654897378546986,0.739544513457557,0.6029722690582275
53,BindingDB_Ki,16,0,adkt,0.8275356509332636,0.8125,0.8024364104202595,0.8125,0.6252663135528564
58,BindingDB_Ki,16,1,adkt,0.660272977653738,0.6162500000000001,0.6100100533887887,0.61625,0.5430483818054199
63,BindingDB_Ki,16,2,adkt,0.7654081985567509,0.755,0.7416710546683152,0.755,0.6008343696594238
68,BindingDB_Ki,16,3,adkt,0.8329563179356633,0.79625,0.770834364132588,0.79625,0.5114517211914062
73,BindingDB_Ki,16,4,adkt,0.7868699668883428,0.7762499999999999,0.7932348627276726,0.77625,0.6028785705566406
78,BindingDB_Ki,16,5,adkt,0.7597240598661514,0.7487499999999999,0.697043855837089,0.7487499999999999,0.5493052005767822
83,BindingDB_Ki,16,6,adkt,0.8205166329841692,0.8206249999999999,0.8349489540899376,0.8206249999999999,1.2706851959228516
88,BindingDB_Ki,16,7,adkt,0.8121255021393352,0.806875,0.7961545519522544,0.806875,0.40666747093200684
93,BindingDB_Ki,16,8,adkt,0.7208517137018462,0.7300000000000001,0.7497475759076793,0.73,0.541020393371582
98,BindingDB_Ki,16,9,adkt,0.7841536555044832,0.7468750000000001,0.6806993542109435,0.746875,0.5791416168212891
