,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
6051,DAVIS,16,0,adkt,0.9479271033046776,0.9460269865067465,0.9545986719266715,0.9460269865067465,0.4234449863433838
6056,DAVIS,16,1,adkt,0.9482045803098872,0.9490254872563718,0.9579801576308244,0.9490254872563718,0.48649048805236816
6061,DAVIS,16,2,adkt,0.9127013844536975,0.9355322338830585,0.9555088871038037,0.9355322338830585,0.24826598167419434
6066,DAVIS,16,3,adkt,0.9551780135509731,0.9565217391304348,0.9646963309701767,0.9565217391304348,0.27830076217651367
6071,DAVIS,16,4,adkt,0.9610544322656298,0.967016491754123,0.9759514783161829,0.967016491754123,0.34668850898742676
6076,DAVIS,16,5,adkt,0.875048487399622,0.8785607196401799,0.9102275234121435,0.8785607196401799,0.547177791595459
6081,DAVIS,16,6,adkt,0.9301022210674161,0.9370314842578711,0.9537645693334709,0.9370314842578711,0.40230250358581543
6086,DAVIS,16,7,adkt,0.9795134575569358,0.9820089955022488,0.9864315555083073,0.9820089955022488,0.5489561557769775
6091,DAVIS,16,8,adkt,0.9314524929419847,0.9460269865067467,0.9646664875464938,0.9460269865067467,0.3774709701538086
6096,DAVIS,16,9,adkt,0.855625579380741,0.8575712143928036,0.8814323226923259,0.8575712143928036,0.3406517505645752
6101,DAVIS,16,0,adkt,0.9266240892772968,0.9186390532544378,0.9277117905982832,0.9186390532544378,0.398038387298584
6106,DAVIS,16,1,adkt,0.8977485055742604,0.8979289940828402,0.9145912920348591,0.8979289940828402,0.33972954750061035
6111,DAVIS,16,2,adkt,0.9215719545024139,0.9230769230769231,0.9331098183820417,0.9230769230769231,0.33538818359375
6116,DAVIS,16,3,adkt,0.9228390533889896,0.9112426035502958,0.9153321798014178,0.9112426035502958,0.3600645065307617
6121,DAVIS,16,4,adkt,0.8928850290343262,0.8831360946745562,0.8927392324822289,0.8831360946745562,0.46438026428222656
6126,DAVIS,16,5,adkt,0.9425149205437666,0.9363905325443787,0.9417111076965434,0.9363905325443787,0.28160905838012695
6131,DAVIS,16,6,adkt,0.953163535483428,0.945266272189349,0.9453046546603306,0.9452662721893491,0.2816588878631592
6136,DAVIS,16,7,adkt,0.913728732096985,0.9053254437869822,0.9161031681297576,0.9053254437869822,0.42482805252075195
6141,DAVIS,16,8,adkt,0.9002624793868899,0.9053254437869822,0.9215257325634737,0.9053254437869823,0.3321404457092285
6146,DAVIS,16,9,adkt,0.8806357415490541,0.8653846153846154,0.8805327597974848,0.8653846153846154,0.326613187789917
6151,DAVIS,16,0,adkt,0.925605470221774,0.9142011834319527,0.8979887834010789,0.9142011834319528,0.3256354331970215
6156,DAVIS,16,1,adkt,0.8894826092827508,0.8890532544378698,0.9101715477273644,0.8890532544378698,0.30910634994506836
6161,DAVIS,16,2,adkt,0.8132594333354048,0.8210059171597632,0.8119937865180882,0.8210059171597633,0.2991154193878174
6166,DAVIS,16,3,adkt,0.8637966559128909,0.8594674556213018,0.8798818934910695,0.8594674556213017,0.3751647472381592
6171,DAVIS,16,4,adkt,0.9015200413298563,0.900887573964497,0.9171867699117167,0.900887573964497,0.32949352264404297
6176,DAVIS,16,5,adkt,0.8999858774931178,0.8831360946745562,0.8664081055647311,0.8831360946745562,0.3345372676849365
6181,DAVIS,16,6,adkt,0.8706146686094809,0.8579881656804733,0.8206037015579855,0.8579881656804734,0.3416879177093506
6186,DAVIS,16,7,adkt,0.7902033802002165,0.8535502958579881,0.8911650521386458,0.8535502958579881,0.43631649017333984
6191,DAVIS,16,8,adkt,0.9328485203159376,0.9289940828402368,0.9365946917308271,0.9289940828402368,0.29033851623535156
6196,DAVIS,16,9,adkt,0.9133073767918373,0.8920118343195267,0.8853704026337386,0.8920118343195267,0.3267827033996582
6201,DAVIS,16,0,adkt,0.5775907433984077,0.7838345864661656,0.9124509486899508,0.7838345864661654,0.3204772472381592
6206,DAVIS,16,1,adkt,0.38741233165196304,0.7067669172932332,0.8927128174179246,0.706766917293233,0.4364919662475586
6211,DAVIS,16,2,adkt,0.5767308536317752,0.7969924812030075,0.927771434573453,0.7969924812030075,0.34842920303344727
6216,DAVIS,16,3,adkt,0.5254999883248493,0.7067669172932332,0.87401106048494,0.7067669172932332,0.4118227958679199
6221,DAVIS,16,4,adkt,0.5053874764235223,0.7406015037593985,0.8981977519546379,0.7406015037593985,0.44567131996154785
6226,DAVIS,16,5,adkt,0.6597799633477697,0.7857142857142858,0.9114873848330889,0.7857142857142858,0.3373384475708008
6231,DAVIS,16,6,adkt,0.5387593838909628,0.7537593984962406,0.904013163625591,0.7537593984962406,0.2758979797363281
6236,DAVIS,16,7,adkt,0.5887023425362808,0.7650375939849624,0.9071993237917142,0.7650375939849624,0.42145848274230957
6241,DAVIS,16,8,adkt,0.5101112934865795,0.7236842105263158,0.8811565136012722,0.7236842105263158,0.3472433090209961
6246,DAVIS,16,9,adkt,0.5167625331018189,0.7537593984962406,0.9038118044535737,0.7537593984962406,0.44043636322021484
6251,DAVIS,16,0,adkt,0.37193750746242793,0.5809312638580931,0.8453174231560452,0.5809312638580932,0.5628864765167236
6256,DAVIS,16,1,adkt,0.36436760294842996,0.6319290465631929,0.8612412873738544,0.6319290465631929,0.3042588233947754
6261,DAVIS,16,2,adkt,0.6141089354402048,0.7583148558758316,0.8876359514896572,0.7583148558758314,0.4041728973388672
6266,DAVIS,16,3,adkt,0.517318563789152,0.647450110864745,0.8430719854342089,0.647450110864745,0.508249044418335
6271,DAVIS,16,4,adkt,0.5409126649064729,0.6829268292682927,0.8460459605996006,0.6829268292682926,0.3401041030883789
6276,DAVIS,16,5,adkt,0.49083685958685963,0.7250554323725055,0.8906782704040372,0.7250554323725056,0.2725684642791748
6281,DAVIS,16,6,adkt,0.4330234339861686,0.6607538802660753,0.8611840077656315,0.6607538802660754,0.3272402286529541
6286,DAVIS,16,7,adkt,0.40465268461023984,0.6629711751662972,0.8653200215009466,0.6629711751662971,0.6228649616241455
6291,DAVIS,16,8,adkt,0.2802914843627071,0.4656319290465632,0.7712128330847515,0.46563192904656325,0.47459888458251953
6296,DAVIS,16,9,adkt,0.5160479581447324,0.6851441241685144,0.8634764854611923,0.6851441241685143,0.2781713008880615
6301,DAVIS,16,0,adkt,0.28721133190118153,0.7587301587301587,0.9580849549053403,0.7587301587301587,0.28247952461242676
6306,DAVIS,16,1,adkt,0.14270185745749656,0.473015873015873,0.8728383716012361,0.473015873015873,0.2777726650238037
6311,DAVIS,16,2,adkt,0.16169437222597616,0.5714285714285714,0.9205488448805201,0.5714285714285715,0.28283166885375977
6316,DAVIS,16,3,adkt,0.17910724196438482,0.6063492063492063,0.9286934127531388,0.6063492063492063,0.27301621437072754
6321,DAVIS,16,4,adkt,0.1683980016931962,0.5650793650793651,0.9086562799267742,0.5650793650793651,0.39101433753967285
6326,DAVIS,16,5,adkt,0.17841255624506855,0.6063492063492064,0.9231744594970501,0.6063492063492064,0.2747316360473633
6331,DAVIS,16,6,adkt,0.42697694462400343,0.8158730158730159,0.9698563991991076,0.8158730158730159,0.28416943550109863
6336,DAVIS,16,7,adkt,0.2650692258115437,0.4666666666666666,0.8610116633363479,0.4666666666666667,0.35581254959106445
6341,DAVIS,16,8,adkt,0.12990133969330528,0.4380952380952381,0.8767340552896152,0.4380952380952381,0.2720530033111572
6346,DAVIS,16,9,adkt,0.19719502301362632,0.6603174603174602,0.9422729226562822,0.6603174603174604,0.32727575302124023
6351,DAVIS,16,0,adkt,0.2934216316505319,0.6857142857142857,0.9185540653092421,0.6857142857142857,0.2773468494415283
6356,DAVIS,16,1,adkt,0.23828937144726617,0.6142857142857143,0.897460578444915,0.6142857142857143,0.5767512321472168
6361,DAVIS,16,2,adkt,0.4273593073593074,0.7357142857142858,0.9314930908698045,0.7357142857142858,0.48281240463256836
6366,DAVIS,16,3,adkt,0.2742510241736248,0.6071428571428571,0.882977118660017,0.6071428571428571,0.34499263763427734
