,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
1,KIBA,16,0,adkt,0.7171852029474575,0.7287906898296509,0.727428174448463,0.7287906898296509,0.42495250701904297
6,KIBA,16,1,adkt,0.6704966167456864,0.6970821386405801,0.6952877186798915,0.6970821386405802,0.5262196063995361
11,KIBA,16,2,adkt,0.6306857630518973,0.6365322988699612,0.6026195098918817,0.6365322988699612,0.36716771125793457
16,KIBA,16,3,adkt,0.6622807985039917,0.6960701636026312,0.740310676473866,0.6960701636026312,0.5100874900817871
21,KIBA,16,4,adkt,0.7455260632259346,0.7179962894248608,0.6965398388694279,0.7179962894248608,0.3690664768218994
26,KIBA,16,5,adkt,0.7246777315290085,0.6970821386405801,0.6711384005124029,0.6970821386405801,0.45194244384765625
31,KIBA,16,6,adkt,0.7443687544797235,0.7303086523865743,0.6906639091067014,0.7303086523865745,0.5537822246551514
36,KIBA,16,7,adkt,0.6537109825867284,0.6925282509698094,0.6782799094054416,0.6925282509698094,0.3729841709136963
41,KIBA,16,8,adkt,0.6753771269716842,0.6977567886658795,0.712855357239844,0.6977567886658795,0.36019301414489746
46,KIBA,16,9,adkt,0.7155737560602633,0.7218755270703323,0.6939432631041487,0.7218755270703322,0.4116525650024414
51,KIBA,16,0,adkt,0.5958734103339417,0.7067813018624378,0.8512042643130515,0.7067813018624378,0.37424325942993164
56,KIBA,16,1,adkt,0.7474962003698329,0.8397335423197492,0.9185608174092402,0.8397335423197492,0.40787172317504883
61,KIBA,16,2,adkt,0.6926542382068699,0.8181126682647981,0.9082314506450078,0.8181126682647981,0.4202241897583008
66,KIBA,16,3,adkt,0.5967088710571874,0.7446063064724322,0.8757995160582693,0.7446063064724322,0.45015764236450195
71,KIBA,16,4,adkt,0.599173551295114,0.7065738521113775,0.8299768979968926,0.7065738521113774,0.43538856506347656
76,KIBA,16,5,adkt,0.4988617984729257,0.7475336529596165,0.8794305257234127,0.7475336529596164,0.48487424850463867
81,KIBA,16,6,adkt,0.6393747766038378,0.754125945048866,0.8794609789780015,0.754125945048866,0.4312281608581543
86,KIBA,16,7,adkt,0.5431109313948744,0.6897012723584731,0.8417385826659838,0.6897012723584732,0.33531904220581055
91,KIBA,16,8,adkt,0.5413190867285091,0.7547021943573666,0.8807399979008821,0.7547021943573667,0.4392969608306885
96,KIBA,16,9,adkt,0.606495169355828,0.7297160243407708,0.8607860001878578,0.7297160243407708,0.3759925365447998
101,KIBA,16,0,adkt,0.852978309349221,0.8611263820169813,0.8789626117641502,0.8611263820169811,0.76712965965271
