,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
3580,KIBA,16,0,clamp,0.6991278356906762,0.701636026311351,0.701121949011634,0.7016360263113509,0.007234811782836914
3581,KIBA,16,1,clamp,0.6847566574477688,0.7100691516275932,0.7169145234497672,0.7100691516275932,0.006967067718505859
3582,KIBA,16,2,clamp,0.5911857615385882,0.5953786473266993,0.5793671666810702,0.5953786473266992,0.007740020751953125
3583,KIBA,16,3,clamp,0.5363496837606758,0.5596221959858324,0.632478383519909,0.5596221959858323,0.008304834365844727
3584,KIBA,16,4,clamp,0.692303054529705,0.6783606004385225,0.6766166167072546,0.6783606004385225,0.007021903991699219
3585,KIBA,16,5,clamp,0.6351532496557768,0.625906560971496,0.6139632498483746,0.6259065609714959,0.007014274597167969
3586,KIBA,16,6,clamp,0.6836079343758845,0.6419294990723562,0.6185789851605171,0.6419294990723562,0.006794452667236328
3587,KIBA,16,7,clamp,0.6999257361239869,0.6849384381851914,0.6117651792666612,0.6849384381851915,0.008087158203125
3588,KIBA,16,8,clamp,0.7014534255252114,0.6986001011975038,0.7219457123445244,0.6986001011975038,0.006809711456298828
3589,KIBA,16,9,clamp,0.5511896256685036,0.5122280317085512,0.5386640411886594,0.5122280317085512,0.006811380386352539
3590,KIBA,16,0,clamp,0.5566864140201756,0.6535589157293011,0.8033077211367576,0.6535589157293011,0.0429072380065918
3591,KIBA,16,1,clamp,0.7080545320639923,0.8058270330075603,0.8870660876203078,0.8058270330075605,0.012071609497070312
3592,KIBA,16,2,clamp,0.7181726376067871,0.8065646321224413,0.8895528984313682,0.8065646321224414,0.013052225112915039
3593,KIBA,16,3,clamp,0.4146985396891016,0.6072284713258345,0.7963361709820612,0.6072284713258345,0.013327836990356445
3594,KIBA,16,4,clamp,0.7379436203461629,0.8384657938410474,0.9197277444862357,0.8384657938410475,0.013814926147460938
3595,KIBA,16,5,clamp,0.5103471612367392,0.7085561497326203,0.8533288353407227,0.7085561497326204,0.013363838195800781
3596,KIBA,16,6,clamp,0.5706639333478941,0.636087036695556,0.7561287743487658,0.636087036695556,0.013659238815307617
3597,KIBA,16,7,clamp,0.6214728651709127,0.7617324359210768,0.8805028915234596,0.7617324359210769,0.011702775955200195
3598,KIBA,16,8,clamp,0.5013899002580737,0.751429098285082,0.8832997034756129,0.7514290982850822,0.010690927505493164
3599,KIBA,16,9,clamp,0.6217102744980887,0.7853586575696109,0.8972305504215459,0.785358657569611,0.011917829513549805
3600,KIBA,16,0,clamp,0.8525515751938063,0.8576038930629366,0.8652265329881409,0.8576038930629364,0.014266252517700195
3601,KIBA,16,1,clamp,0.8637725900456172,0.868894182802924,0.877515269801272,0.868894182802924,0.01619100570678711
3602,KIBA,16,2,clamp,0.8706098919195113,0.879023883696781,0.885226102538167,0.8790238836967809,0.01514291763305664
3603,KIBA,16,3,clamp,0.7828029179503111,0.8088184391098081,0.8249018452123724,0.808818439109808,0.012955427169799805
3604,KIBA,16,4,clamp,0.7792060904605868,0.8262069105939365,0.8499961441817213,0.8262069105939365,0.013944387435913086
3605,KIBA,16,5,clamp,0.8714407489885865,0.8802048337507381,0.8900370032188303,0.8802048337507382,0.014136314392089844
3606,KIBA,16,6,clamp,0.8507170053782103,0.8622564290513712,0.871901619803153,0.8622564290513715,0.016158103942871094
3607,KIBA,16,7,clamp,0.8719404499916235,0.8717549325025961,0.8730796150346287,0.8717549325025961,0.01476907730102539
3608,KIBA,16,8,clamp,0.8633237914453604,0.8672245637611222,0.8762657534776908,0.8672245637611223,0.013906717300415039
3609,KIBA,16,9,clamp,0.8705951512495927,0.8849286339665668,0.8955490068086256,0.884928633966567,0.013057470321655273
3610,KIBA,16,0,clamp,0.5412232410401225,0.6023166023166023,0.6852186708486355,0.6023166023166023,0.007228374481201172
3611,KIBA,16,1,clamp,0.5066973444681442,0.6387816387816387,0.7856754022703554,0.6387816387816387,0.006635427474975586
3612,KIBA,16,2,clamp,0.4671974065466381,0.5997425997425998,0.7534559523071236,0.5997425997425996,0.006094217300415039
3613,KIBA,16,3,clamp,0.5570854807355765,0.6477906477906479,0.7568871248613178,0.6477906477906477,0.006218671798706055
3614,KIBA,16,4,clamp,0.553960615430241,0.6833976833976835,0.785017142645611,0.6833976833976834,0.005964756011962891
