,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
4,BindingDB_IC50,16,0,linear_probe,0.8200335566344076,0.8383839358049459,0.8199516939044053,0.8383839358049459,0.33101820945739746
9,BindingDB_IC50,16,1,linear_probe,0.8786396944731878,0.849360798194514,0.7912447904822716,0.8493607981945142,0.3315608501434326
14,BindingDB_IC50,16,2,linear_probe,0.8522043234634982,0.8279941938968404,0.7769837025746367,0.8279941938968404,0.2879061698913574
19,BindingDB_IC50,16,3,linear_probe,0.8027605667062987,0.8078645210447128,0.8015070937189107,0.8078645210447127,0.30480313301086426
24,BindingDB_IC50,16,4,linear_probe,0.8361927157307651,0.8218541433586667,0.7757577901898829,0.8218541433586668,0.3092617988586426
29,BindingDB_IC50,16,5,linear_probe,0.8574320892738069,0.8468121889587592,0.8175300530807316,0.8468097777863508,0.33655548095703125
34,BindingDB_IC50,16,6,linear_probe,0.8703546373058633,0.8569596080398132,0.8241057905337048,0.8569596080398132,0.3757801055908203
39,BindingDB_IC50,16,7,linear_probe,0.861432330399986,0.8560373345935727,0.8266565236705409,0.8560373345935729,0.3705463409423828
44,BindingDB_IC50,16,8,linear_probe,0.8079340269352265,0.790350970255777,0.7604327286215182,0.7903485590833688,0.33728814125061035
49,BindingDB_IC50,16,9,linear_probe,0.866683302438253,0.8526411982562402,0.8169350762221277,0.8526399926700359,0.36735033988952637
54,BindingDB_IC50,16,0,linear_probe,0.6077679197146664,0.6506407328355854,0.6924010858653075,0.6506407328355854,0.27621960639953613
59,BindingDB_IC50,16,1,linear_probe,0.5625311232821796,0.5682465596425517,0.5803526017605902,0.568250712156068,0.2633352279663086
64,BindingDB_IC50,16,2,linear_probe,0.5995255088103406,0.6487721017531913,0.6945202643440318,0.6487721017531912,0.28434252738952637
69,BindingDB_IC50,16,3,linear_probe,0.6393334309076684,0.7170062038551934,0.7682098325247291,0.7170062038551936,0.26932191848754883
74,BindingDB_IC50,16,4,linear_probe,0.6964889582414544,0.7404014650067686,0.7818911890359376,0.7404014650067685,0.2544112205505371
79,BindingDB_IC50,16,5,linear_probe,0.7159955005566367,0.7214244782366767,0.7335073763672231,0.7214244782366767,0.25255441665649414
84,BindingDB_IC50,16,6,linear_probe,0.5441291838896662,0.5285485304254666,0.5271479360556446,0.5285485304254666,0.2559843063354492
89,BindingDB_IC50,16,7,linear_probe,0.6134627586771806,0.6311654444435216,0.6544448953212628,0.6311654444435217,0.2672233581542969
94,BindingDB_IC50,16,8,linear_probe,0.60014359855279,0.6373526895830045,0.6841559322914955,0.6373526895830046,0.25195884704589844
99,BindingDB_IC50,16,9,linear_probe,0.5934873264939249,0.6343960999593053,0.6580085186014073,0.6343960999593055,0.24022626876831055
104,BindingDB_IC50,16,0,linear_probe,0.5807662632742825,0.7384615384615384,0.9048725608866177,0.7384615384615385,0.18037700653076172
109,BindingDB_IC50,16,1,linear_probe,0.3788980416728095,0.7,0.923264827103108,0.7,0.18084001541137695
114,BindingDB_IC50,16,2,linear_probe,0.5260280505402456,0.7128205128205128,0.9020673005233154,0.7128205128205128,0.18122506141662598
119,BindingDB_IC50,16,3,linear_probe,0.6930860805860805,0.9230769230769231,0.9822246485708026,0.923076923076923,0.2207176685333252
124,BindingDB_IC50,16,4,linear_probe,0.8766013071895427,0.9564102564102563,0.9889436831898217,0.9564102564102563,0.22517776489257812
129,BindingDB_IC50,16,5,linear_probe,0.3873222829801777,0.7307692307692308,0.9302740449283198,0.7307692307692308,0.2286376953125
134,BindingDB_IC50,16,6,linear_probe,0.44536630036630037,0.7923076923076923,0.9459427893421555,0.7923076923076923,0.23107647895812988
139,BindingDB_IC50,16,7,linear_probe,0.3868333210477174,0.7589743589743589,0.9336745043119461,0.7589743589743589,0.22146272659301758
144,BindingDB_IC50,16,8,linear_probe,0.7609321152703505,0.923076923076923,0.9815681676146795,0.9230769230769231,0.2087240219116211
149,BindingDB_IC50,16,9,linear_probe,0.43196815568332597,0.7615384615384615,0.9413092114460253,0.7615384615384616,0.19397902488708496
154,BindingDB_IC50,16,0,linear_probe,0.5995128117545128,0.7406015037593985,0.8399133120228393,0.7406015037593986,0.2133946418762207
159,BindingDB_IC50,16,1,linear_probe,0.6870235200385915,0.7236842105263158,0.7481543335922365,0.7236842105263158,0.2603144645690918
164,BindingDB_IC50,16,2,linear_probe,0.5804646151420345,0.6710526315789473,0.7913225643114051,0.6710526315789473,0.23160839080810547
169,BindingDB_IC50,16,3,linear_probe,0.4407346940814322,0.5112781954887218,0.6587935996814386,0.5112781954887219,0.21012473106384277
174,BindingDB_IC50,16,4,linear_probe,0.7044139372886586,0.7725563909774437,0.8053748136314588,0.7725563909774437,0.20079874992370605
