,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
23954,BindingDB_Kd,16,0,linear_probe,0.9325037707390647,0.9667359667359667,0.9879975824469704,0.9667359667359667,0.2265617847442627
23959,BindingDB_Kd,16,1,linear_probe,0.9462566091525366,0.9792099792099792,0.9931375626497576,0.9792099792099792,0.2336888313293457
23964,BindingDB_Kd,16,2,linear_probe,0.9400646586881405,0.975051975051975,0.9915236492711386,0.975051975051975,0.20282530784606934
23969,BindingDB_Kd,16,3,linear_probe,0.9238253424488241,0.9708939708939709,0.9903892193221879,0.9708939708939709,0.19745874404907227
23974,BindingDB_Kd,16,4,linear_probe,0.9732495069033529,0.9896049896049895,0.9964917620323024,0.9896049896049895,0.20438456535339355
23979,BindingDB_Kd,16,5,linear_probe,0.856221556221556,0.9438669438669438,0.9809625654021426,0.9438669438669438,0.19266343116760254
23984,BindingDB_Kd,16,6,linear_probe,0.9149772746762712,0.9604989604989604,0.9859541572936137,0.9604989604989606,0.1957566738128662
23989,BindingDB_Kd,16,7,linear_probe,0.9107366489719431,0.9625779625779625,0.9873065737279323,0.9625779625779626,0.20361638069152832
23994,BindingDB_Kd,16,8,linear_probe,0.9432605855682779,0.975051975051975,0.9913027553002445,0.975051975051975,0.22387290000915527
23999,BindingDB_Kd,16,9,linear_probe,0.8941781320740596,0.9667359667359667,0.9896706794474126,0.9667359667359667,0.22566699981689453
24004,BindingDB_Kd,16,0,linear_probe,0.6894791337125631,0.7592105263157894,0.8348538499216958,0.7592105263157894,0.24475359916687012
24009,BindingDB_Kd,16,1,linear_probe,0.7123030343019983,0.8197368421052632,0.8990095762634043,0.8197368421052631,0.23456096649169922
24014,BindingDB_Kd,16,2,linear_probe,0.6841346705569027,0.7894736842105263,0.8741192803764042,0.7894736842105263,0.20483708381652832
24019,BindingDB_Kd,16,3,linear_probe,0.6908724786289056,0.8171052631578948,0.8944599734580843,0.8171052631578948,0.20546388626098633
24024,BindingDB_Kd,16,4,linear_probe,0.7467935095594942,0.8578947368421053,0.9326839173852713,0.8578947368421053,0.20755767822265625
24029,BindingDB_Kd,16,5,linear_probe,0.5638700557844798,0.7039473684210527,0.810342270168546,0.7039473684210527,0.23539376258850098
24034,BindingDB_Kd,16,6,linear_probe,0.6332016850604091,0.6947368421052632,0.7940903175531474,0.6947368421052632,0.2556772232055664
24039,BindingDB_Kd,16,7,linear_probe,0.6462444218765893,0.7710526315789473,0.8617969850063132,0.7710526315789473,0.22532868385314941
24044,BindingDB_Kd,16,8,linear_probe,0.6805355935277169,0.7605263157894737,0.8316884810505962,0.7605263157894737,0.2365734577178955
24049,BindingDB_Kd,16,9,linear_probe,0.6659972915770238,0.7934210526315789,0.8684354265479621,0.7934210526315789,0.22576546669006348
24054,BindingDB_Kd,16,0,linear_probe,0.9269830847831562,0.927854938271605,0.9213699320855611,0.927854938271605,0.24600887298583984
24059,BindingDB_Kd,16,1,linear_probe,0.9000042766599592,0.8800154320987653,0.8623575565692858,0.8800154320987654,0.2562096118927002
24064,BindingDB_Kd,16,2,linear_probe,0.7913881178059724,0.8094135802469136,0.8093366205724305,0.8094135802469137,0.22286200523376465
24069,BindingDB_Kd,16,3,linear_probe,0.9076422035651676,0.923804012345679,0.9353735278902808,0.9238040123456791,0.22623944282531738
24074,BindingDB_Kd,16,4,linear_probe,0.8973040101913011,0.9056712962962963,0.9138767154221675,0.9056712962962963,0.22386479377746582
24079,BindingDB_Kd,16,5,linear_probe,0.8382540018382284,0.9008487654320988,0.9274931390496508,0.9008487654320988,0.21932125091552734
24084,BindingDB_Kd,16,6,linear_probe,0.8339612116362987,0.8836805555555556,0.9243771591578498,0.8836805555555558,0.1874556541442871
24089,BindingDB_Kd,16,7,linear_probe,0.77992286557045,0.8638117283950617,0.9133387749889027,0.8638117283950618,0.21923017501831055
24094,BindingDB_Kd,16,8,linear_probe,0.8071754360602089,0.8881172839506173,0.926033250534234,0.8881172839506172,0.2262122631072998
24099,BindingDB_Kd,16,9,linear_probe,0.893040749737045,0.9209104938271604,0.939318723018731,0.9209104938271604,0.22649526596069336
24104,BindingDB_Kd,16,0,linear_probe,0.7814455866206478,0.7846020761245676,0.8143092222579631,0.7846020761245674,0.22355937957763672
24109,BindingDB_Kd,16,1,linear_probe,0.835405357175876,0.8088235294117647,0.7945309661613905,0.8088235294117647,0.19981694221496582
24114,BindingDB_Kd,16,2,linear_probe,0.7525203533119676,0.7508650519031141,0.7279056832742701,0.7508650519031141,0.20379948616027832
24119,BindingDB_Kd,16,3,linear_probe,0.813412130795404,0.8166089965397924,0.8030307079164448,0.8166089965397924,0.19051337242126465
24124,BindingDB_Kd,16,4,linear_probe,0.7300181405520001,0.7223183391003459,0.713315315095904,0.722318339100346,0.21125578880310059
24129,BindingDB_Kd,16,5,linear_probe,0.7974022091195636,0.7906574394463668,0.8287043347027612,0.7906574394463668,0.2258470058441162
24134,BindingDB_Kd,16,6,linear_probe,0.8267955785717237,0.82439446366782,0.7950687572862036,0.8243944636678201,0.2025752067565918
24139,BindingDB_Kd,16,7,linear_probe,0.8382712283620328,0.8192041522491349,0.819924405654097,0.819204152249135,0.19696378707885742
24144,BindingDB_Kd,16,8,linear_probe,0.720127210946999,0.703287197231834,0.7391342304418163,0.7032871972318339,0.19701600074768066
24149,BindingDB_Kd,16,9,linear_probe,0.7626564342576924,0.7889273356401384,0.807255182817042,0.7889273356401385,0.19760799407958984
24154,BindingDB_Kd,16,0,linear_probe,0.6886774792516008,0.7766884531590413,0.8364593668378515,0.7766884531590413,0.23458552360534668
24159,BindingDB_Kd,16,1,linear_probe,0.5078441801926332,0.48692810457516333,0.5395407556480213,0.4869281045751634,0.20184683799743652
24164,BindingDB_Kd,16,2,linear_probe,0.777567040433359,0.8387799564270152,0.8859798173618364,0.8387799564270152,0.18914246559143066
24169,BindingDB_Kd,16,3,linear_probe,0.7274889931657391,0.7886710239651415,0.8372936067341313,0.7886710239651417,0.18726658821105957
24174,BindingDB_Kd,16,4,linear_probe,0.7936370638067386,0.8790849673202614,0.9176099776943455,0.8790849673202614,0.19102811813354492
