,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
4,BindingDB_Ki,16,0,linear_probe,0.6678229608061198,0.7342650103519669,0.7725966576251359,0.7342650103519669,0.16366171836853027
9,BindingDB_Ki,16,1,linear_probe,0.5887940701754356,0.5915113871635611,0.6311474310172371,0.591407867494824,0.16345667839050293
14,BindingDB_Ki,16,2,linear_probe,0.7664970239227958,0.7553830227743271,0.7381820808873857,0.7553830227743272,0.16258835792541504
19,BindingDB_Ki,16,3,linear_probe,0.6975898973965388,0.7421325051759835,0.7561664263842147,0.7421325051759835,0.1585690975189209
24,BindingDB_Ki,16,4,linear_probe,0.6452131502516896,0.7080745341614908,0.7033060770882429,0.7080745341614907,0.15290498733520508
29,BindingDB_Ki,16,5,linear_probe,0.7961694684637608,0.8124223602484472,0.813934221671614,0.8124223602484472,0.15492606163024902
34,BindingDB_Ki,16,6,linear_probe,0.751904495262614,0.7746376811594203,0.7619765116095399,0.7744306418219461,0.15663695335388184
39,BindingDB_Ki,16,7,linear_probe,0.597227946949709,0.6660455486542444,0.7284793966871795,0.6660455486542444,0.1567685604095459
44,BindingDB_Ki,16,8,linear_probe,0.7140419754586002,0.7589026915113871,0.7533891512967427,0.758902691511387,0.15433096885681152
49,BindingDB_Ki,16,9,linear_probe,0.6897474893076554,0.699896480331263,0.7061104552818618,0.6997929606625259,0.15404200553894043
54,BindingDB_Ki,16,0,linear_probe,0.7465924078538096,0.758125,0.7630802154898415,0.758125,0.15890264511108398
59,BindingDB_Ki,16,1,linear_probe,0.6318642095787312,0.689375,0.7594968520097289,0.6893750000000001,0.15378546714782715
64,BindingDB_Ki,16,2,linear_probe,0.7522215726083585,0.736875,0.7505907500586162,0.736875,0.15329337120056152
69,BindingDB_Ki,16,3,linear_probe,0.8043582700352438,0.76875,0.7321601479910966,0.7687499999999999,0.15177202224731445
74,BindingDB_Ki,16,4,linear_probe,0.763981539825644,0.755625,0.7774640898670127,0.755625,0.1541295051574707
79,BindingDB_Ki,16,5,linear_probe,0.6837172999120704,0.7062499999999999,0.7112156554123292,0.70625,0.15731072425842285
84,BindingDB_Ki,16,6,linear_probe,0.7978295496115311,0.768125,0.772809788527245,0.768125,0.1547074317932129
89,BindingDB_Ki,16,7,linear_probe,0.7713103732902746,0.7462500000000001,0.7370040849341419,0.74625,0.15253567695617676
94,BindingDB_Ki,16,8,linear_probe,0.8169799555706398,0.7712500000000001,0.7336599256729215,0.77125,0.1573474407196045
99,BindingDB_Ki,16,9,linear_probe,0.793198007671253,0.781875,0.7967052018041554,0.781875,0.15366625785827637
104,BindingDB_Ki,16,0,linear_probe,0.7212069232498107,0.6898925250573602,0.6758836813024476,0.6898925250573602,0.15631842613220215
109,BindingDB_Ki,16,1,linear_probe,0.673494212508905,0.7406110373143341,0.7842524809166307,0.740611037314334,0.15660524368286133
114,BindingDB_Ki,16,2,linear_probe,0.7515385617559628,0.7154932979108803,0.6588383449103298,0.7154932979108803,0.15624547004699707
119,BindingDB_Ki,16,3,linear_probe,0.7230165826337752,0.7449583383649317,0.7802696295127141,0.7449583383649317,0.15714025497436523
124,BindingDB_Ki,16,4,linear_probe,0.719949682367259,0.7543171114599686,0.7606581835815441,0.7544378698224852,0.15769338607788086
129,BindingDB_Ki,16,5,linear_probe,0.7269861228487268,0.758604033329308,0.7516789006080654,0.758604033329308,0.15709948539733887
134,BindingDB_Ki,16,6,linear_probe,0.754109539068648,0.7797367467697138,0.804575142536109,0.7797367467697138,0.15868568420410156
139,BindingDB_Ki,16,7,linear_probe,0.7835469080866093,0.8218814152880086,0.8312722311642557,0.8218814152880087,0.15621256828308105
144,BindingDB_Ki,16,8,linear_probe,0.8205963101776761,0.8032846274604517,0.7699796336988414,0.8032846274604516,0.16431951522827148
149,BindingDB_Ki,16,9,linear_probe,0.6241615787282222,0.6883830455259027,0.7151359223939289,0.6885038038884193,0.15684938430786133
154,BindingDB_Ki,16,0,linear_probe,0.6756190855071751,0.6516913932808619,0.6072634558028129,0.6516913932808617,0.16004061698913574
159,BindingDB_Ki,16,1,linear_probe,0.6652583320927409,0.6838127742564603,0.667416096396288,0.6838127742564603,0.17411422729492188
164,BindingDB_Ki,16,2,linear_probe,0.7136868952679634,0.7150925216502984,0.7060134211408522,0.7150925216502984,0.17463898658752441
169,BindingDB_Ki,16,3,linear_probe,0.6835986851440004,0.7073030577418681,0.6956453799035522,0.7073030577418681,0.17411565780639648
174,BindingDB_Ki,16,4,linear_probe,0.6730976705626077,0.6887174665087878,0.6619562833478729,0.6887174665087878,0.1753520965576172
179,BindingDB_Ki,16,5,linear_probe,0.6335488611409885,0.6702015277100601,0.6631187720582012,0.6702015277100601,0.1750786304473877
184,BindingDB_Ki,16,6,linear_probe,0.643716236901531,0.6036254092080517,0.5881178544573599,0.6036254092080517,0.17569971084594727
189,BindingDB_Ki,16,7,linear_probe,0.7071439275150788,0.7246116876784843,0.721928506431498,0.7246116876784843,0.17290639877319336
194,BindingDB_Ki,16,8,linear_probe,0.6336505330551133,0.6362924009194122,0.628883746772612,0.6362924009194122,0.17425823211669922
199,BindingDB_Ki,16,9,linear_probe,0.6379935272876469,0.6427120336189084,0.61236600650096,0.6427120336189083,0.1757335662841797
