,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
6054,DAVIS,16,0,linear_probe,0.9365787226845828,0.9415292353823088,0.9563080623459632,0.9415292353823088,0.1996912956237793
6059,DAVIS,16,1,linear_probe,0.8953254084361078,0.9070464767616191,0.930478579336177,0.9070464767616192,0.18735885620117188
6064,DAVIS,16,2,linear_probe,0.9910044977511243,0.9910044977511245,0.9924472774770038,0.9910044977511244,0.19047164916992188
6069,DAVIS,16,3,linear_probe,0.9469443948478811,0.9490254872563718,0.9582048438288429,0.9490254872563718,0.20061540603637695
6074,DAVIS,16,4,linear_probe,0.972407644533801,0.9775112443778111,0.984003153890193,0.9775112443778111,0.20683693885803223
6079,DAVIS,16,5,linear_probe,0.904497026486656,0.8920539730134933,0.8962797467034248,0.8920539730134933,0.2185359001159668
6084,DAVIS,16,6,linear_probe,0.9042622416993126,0.9055472263868066,0.9185885076790776,0.9055472263868066,0.217818021774292
6089,DAVIS,16,7,linear_probe,0.9436210948261987,0.944527736131934,0.9534296797240762,0.944527736131934,0.21532392501831055
6094,DAVIS,16,8,linear_probe,0.9452384840635109,0.9550224887556222,0.9694407531476495,0.9550224887556222,0.2400836944580078
6099,DAVIS,16,9,linear_probe,0.9383668895801491,0.9385307346326837,0.9488822261859616,0.9385307346326837,0.21789097785949707
6104,DAVIS,16,0,linear_probe,0.9126572549187673,0.9023668639053255,0.9155553959756813,0.9023668639053255,0.2353990077972412
6109,DAVIS,16,1,linear_probe,0.8943379302909178,0.893491124260355,0.91092264675469,0.893491124260355,0.21671462059020996
6114,DAVIS,16,2,linear_probe,0.9160507024467467,0.9186390532544378,0.9329535747807092,0.9186390532544378,0.20172500610351562
6119,DAVIS,16,3,linear_probe,0.9287524737651787,0.9230769230769231,0.9268075175996704,0.9230769230769231,0.20656609535217285
6124,DAVIS,16,4,linear_probe,0.9027582968595709,0.9023668639053254,0.9157254432182458,0.9023668639053254,0.2026064395904541
6129,DAVIS,16,5,linear_probe,0.944554413761935,0.9393491124260355,0.946562686286512,0.9393491124260355,0.19957804679870605
6134,DAVIS,16,6,linear_probe,0.9445398281214177,0.9393491124260356,0.9439012701095626,0.9393491124260356,0.20313525199890137
6139,DAVIS,16,7,linear_probe,0.9113795082788216,0.8994082840236686,0.9055043889467264,0.8994082840236686,0.20931506156921387
6144,DAVIS,16,8,linear_probe,0.8736425472909323,0.8742603550295858,0.8982343018386785,0.8742603550295858,0.19700360298156738
6149,DAVIS,16,9,linear_probe,0.8800631976249154,0.8742603550295859,0.8953590640940806,0.8742603550295859,0.20432662963867188
6154,DAVIS,16,0,linear_probe,0.9391253177540091,0.9363905325443788,0.9437799749456763,0.9363905325443787,0.19991087913513184
6159,DAVIS,16,1,linear_probe,0.948372210136793,0.9452662721893491,0.9482771265568022,0.9452662721893491,0.19615578651428223
6164,DAVIS,16,2,linear_probe,0.8707410709093117,0.8668639053254438,0.8888995861781668,0.8668639053254438,0.20861530303955078
6169,DAVIS,16,3,linear_probe,0.8633222044316947,0.8668639053254438,0.8893065167975913,0.8668639053254439,0.22689151763916016
6174,DAVIS,16,4,linear_probe,0.933201047286513,0.930473372781065,0.936939674052703,0.9304733727810651,0.21967744827270508
6179,DAVIS,16,5,linear_probe,0.950272375824144,0.9541420118343196,0.9621219083732337,0.9541420118343196,0.20064759254455566
6184,DAVIS,16,6,linear_probe,0.9026901236408222,0.8964497041420119,0.902545221913247,0.8964497041420119,0.1957097053527832
6189,DAVIS,16,7,linear_probe,0.8601143133561968,0.8875739644970415,0.9192469132407347,0.8875739644970414,0.20539498329162598
6194,DAVIS,16,8,linear_probe,0.948130845469821,0.9511834319526629,0.9601476070226069,0.9511834319526628,0.1951766014099121
6199,DAVIS,16,9,linear_probe,0.9042660577392578,0.8964497041420119,0.9065033865861905,0.8964497041420119,0.23973798751831055
6204,DAVIS,16,0,linear_probe,0.6865829433855999,0.8383458646616541,0.9352073201819725,0.8383458646616542,0.21792054176330566
6209,DAVIS,16,1,linear_probe,0.5601147040238302,0.75,0.8998541994830216,0.75,0.23220539093017578
6214,DAVIS,16,2,linear_probe,0.6989469679009704,0.8590225563909775,0.9486324069177745,0.8590225563909775,0.23125505447387695
6219,DAVIS,16,3,linear_probe,0.7019524126666983,0.81203007518797,0.9195828504983716,0.81203007518797,0.21592354774475098
6224,DAVIS,16,4,linear_probe,0.557801691137636,0.75,0.8931377094773485,0.75,0.19803071022033691
6229,DAVIS,16,5,linear_probe,0.6303259182460863,0.8139097744360902,0.9220595869529771,0.8139097744360901,0.24286460876464844
6234,DAVIS,16,6,linear_probe,0.5862923172930323,0.8120300751879699,0.9300204895813842,0.81203007518797,0.20993614196777344
6239,DAVIS,16,7,linear_probe,0.6040606135718917,0.7951127819548872,0.9188156895342539,0.7951127819548872,0.1997060775756836
6244,DAVIS,16,8,linear_probe,0.6326643157262904,0.8176691729323309,0.9301110354205094,0.8176691729323308,0.21114373207092285
6249,DAVIS,16,9,linear_probe,0.5835675169622004,0.7988721804511278,0.9170171153118581,0.7988721804511278,0.23239398002624512
6254,DAVIS,16,0,linear_probe,0.34848983126792277,0.6674057649667405,0.8736526573193283,0.6674057649667405,0.20858120918273926
6259,DAVIS,16,1,linear_probe,0.40219777993842165,0.696230598669623,0.8848191811199017,0.6962305986696231,0.22708773612976074
6264,DAVIS,16,2,linear_probe,0.4654781191438083,0.7228381374722838,0.8978877741907956,0.7228381374722839,0.24072647094726562
6269,DAVIS,16,3,linear_probe,0.5041692488751313,0.6940133037694014,0.8723974325524819,0.6940133037694014,0.24860334396362305
6274,DAVIS,16,4,linear_probe,0.5022942737048228,0.6541019955654102,0.8589526287526762,0.6541019955654102,0.2648301124572754
6279,DAVIS,16,5,linear_probe,0.5069597315621802,0.7184035476718404,0.8851855776574811,0.7184035476718403,0.19542264938354492
6284,DAVIS,16,6,linear_probe,0.5322531078547121,0.7250554323725056,0.8920356038555639,0.7250554323725055,0.2346038818359375
6289,DAVIS,16,7,linear_probe,0.4858166352847204,0.6917960088691796,0.8794316338947673,0.6917960088691796,0.22994661331176758
6294,DAVIS,16,8,linear_probe,0.40714313835339855,0.6208425720620843,0.8223143048186957,0.6208425720620843,0.23188209533691406
