,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
4,KIBA,16,0,linear_probe,0.7439962561863256,0.7564513408669253,0.702333106638434,0.7564513408669253,0.25396203994750977
9,KIBA,16,1,linear_probe,0.7126445833664552,0.7028166638556248,0.6739440439539648,0.7028166638556248,0.2506899833679199
14,KIBA,16,2,linear_probe,0.6285032927425379,0.6146061730477315,0.5695856405824193,0.6146061730477315,0.2710106372833252
19,KIBA,16,3,linear_probe,0.6976904430512858,0.7006240512734019,0.6881770211820486,0.7006240512734019,0.2347855567932129
24,KIBA,16,4,linear_probe,0.7268768436454691,0.7034913138809242,0.6889555171867332,0.7034913138809242,0.25310730934143066
29,KIBA,16,5,linear_probe,0.7199528152468726,0.6911789509192106,0.678432319070053,0.6911789509192107,0.2267897129058838
34,KIBA,16,6,linear_probe,0.7227926029741867,0.7358745150952943,0.7457063576056376,0.7358745150952943,0.22614097595214844
39,KIBA,16,7,linear_probe,0.7364342549527734,0.7009613762860517,0.6652716810032022,0.7009613762860517,0.22184181213378906
44,KIBA,16,8,linear_probe,0.686858427096562,0.7018046888176759,0.6838498341704603,0.7018046888176758,0.2278738021850586
49,KIBA,16,9,linear_probe,0.6750380672302937,0.7060212514757969,0.7085000576088964,0.706021251475797,0.22893190383911133
54,KIBA,16,0,linear_probe,0.6164079612462814,0.7096855983772818,0.8352825602659232,0.7096855983772821,0.22980999946594238
59,KIBA,16,1,linear_probe,0.7730871869846598,0.8531947261663286,0.9194510193116101,0.8531947261663285,0.22817444801330566
64,KIBA,16,2,linear_probe,0.7528050669218745,0.8286695555965333,0.8995703419905949,0.8286695555965333,0.23826813697814941
69,KIBA,16,3,linear_probe,0.6518674504183625,0.7535266457680252,0.8637828636922473,0.7535266457680251,0.24678492546081543
74,KIBA,16,4,linear_probe,0.7577741051954682,0.8377742946708464,0.903478436754414,0.8377742946708463,0.22611260414123535
79,KIBA,16,5,linear_probe,0.6044022598608814,0.7220864834962197,0.8501369578248804,0.7220864834962198,0.23691558837890625
84,KIBA,16,6,linear_probe,0.6995205600024861,0.7726120228655725,0.8721922722143385,0.7726120228655725,0.23741745948791504
89,KIBA,16,7,linear_probe,0.7113439814505323,0.8081781301862438,0.8946582597764824,0.8081781301862438,0.22523880004882812
94,KIBA,16,8,linear_probe,0.7385544657985921,0.8376359948368064,0.9137048496719882,0.8376359948368062,0.2249758243560791
99,KIBA,16,9,linear_probe,0.6855116713006916,0.7738106214272543,0.8814586992383768,0.7738106214272542,0.22775721549987793
104,KIBA,16,0,linear_probe,0.8713809633405744,0.8783825056502352,0.8910435520292384,0.8783825056502352,0.28240537643432617
109,KIBA,16,1,linear_probe,0.8900773530324806,0.8919227088550893,0.9002963062844134,0.8919227088550892,0.28137874603271484
114,KIBA,16,2,linear_probe,0.8888247751753648,0.8907824812167858,0.8994468749837718,0.8907824812167857,0.23753952980041504
119,KIBA,16,3,linear_probe,0.843004974767035,0.8691181560890193,0.879176821768881,0.8691181560890191,0.27405786514282227
124,KIBA,16,4,linear_probe,0.8937818585129507,0.8952924887504328,0.9030453864118606,0.8952924887504328,0.22121167182922363
129,KIBA,16,5,linear_probe,0.8665248280629462,0.8787286461832917,0.8953036790091582,0.8787286461832917,0.26041579246520996
134,KIBA,16,6,linear_probe,0.8848842514153064,0.8884918453362652,0.8974739734881683,0.8884918453362654,0.24341130256652832
139,KIBA,16,7,linear_probe,0.8812830491631704,0.8785352147089365,0.8829077741104928,0.8785352147089365,0.25078272819519043
144,KIBA,16,8,linear_probe,0.8671747531799672,0.8768859568749618,0.8888431530478788,0.876885956874962,0.27028489112854004
149,KIBA,16,9,linear_probe,0.8745141846243156,0.8828212489564881,0.894806594214275,0.8828212489564881,0.2717766761779785
154,KIBA,16,0,linear_probe,0.5077510860327996,0.6053196053196053,0.6907785004500151,0.6053196053196053,0.21079301834106445
159,KIBA,16,1,linear_probe,0.5293967411824323,0.6688116688116689,0.7716862374735987,0.6688116688116688,0.201812744140625
164,KIBA,16,2,linear_probe,0.5020991040097029,0.6340626340626341,0.7626607436764601,0.634062634062634,0.2062997817993164
169,KIBA,16,3,linear_probe,0.5399522694370824,0.673959673959674,0.7792529162451933,0.6739596739596739,0.20842552185058594
174,KIBA,16,4,linear_probe,0.5167403989939693,0.6374946374946375,0.7075117786169693,0.6374946374946374,0.20755219459533691
179,KIBA,16,5,linear_probe,0.6042835008762089,0.6400686400686401,0.7273023776547323,0.6400686400686401,0.21077299118041992
184,KIBA,16,6,linear_probe,0.4962816662441689,0.6224796224796225,0.7543894330555285,0.6224796224796224,0.2086334228515625
189,KIBA,16,7,linear_probe,0.5484719387776771,0.6306306306306306,0.7659918043344065,0.6306306306306305,0.23537826538085938
194,KIBA,16,8,linear_probe,0.3875601669790216,0.5375375375375375,0.7031784727378265,0.5375375375375375,0.23109197616577148
199,KIBA,16,9,linear_probe,0.4489068852432068,0.5572715572715573,0.7168556944433246,0.5572715572715572,0.23427915573120117
204,KIBA,16,0,linear_probe,0.7720143148491581,0.8186123911930365,0.8938833896118776,0.8186123911930363,0.2232828140258789
209,KIBA,16,1,linear_probe,0.8209227502473231,0.8979774705581158,0.9526661881347199,0.8979774705581156,0.22156429290771484
214,KIBA,16,2,linear_probe,0.7744155112366503,0.8682795698924731,0.9362576067175086,0.868279569892473,0.20673203468322754
219,KIBA,16,3,linear_probe,0.8522465245134433,0.8972094214029698,0.9434688013641559,0.8972094214029698,0.2079768180847168
224,KIBA,16,4,linear_probe,0.8201476014091886,0.8887608806963646,0.9456526962223111,0.8887608806963645,0.20349764823913574
229,KIBA,16,5,linear_probe,0.5542559176106592,0.7784178187403994,0.8846264341892276,0.7784178187403994,0.2032482624053955
234,KIBA,16,6,linear_probe,0.6766399315307499,0.8454941116231439,0.9251486714661179,0.8454941116231439,0.22606968879699707
239,KIBA,16,7,linear_probe,0.7043650953541902,0.847542242703533,0.9228401980942743,0.8475422427035331,0.20803356170654297
244,KIBA,16,8,linear_probe,0.7508624993979703,0.8721198156682028,0.9352561451391762,0.8721198156682027,0.20994973182678223
249,KIBA,16,9,linear_probe,0.6239447934350285,0.8138760880696365,0.9159551299451991,0.8138760880696365,0.20658636093139648
254,KIBA,16,0,linear_probe,0.4850688036115507,0.7643939393939394,0.9532688184842459,0.7643939393939394,0.2118854522705078
259,KIBA,16,1,linear_probe,0.5116588295451687,0.7731060606060606,0.9566299726619558,0.7731060606060607,0.19960784912109375
264,KIBA,16,2,linear_probe,0.44287131259167306,0.8340909090909091,0.9685452666818803,0.8340909090909091,0.2274162769317627
269,KIBA,16,3,linear_probe,0.25362894556867743,0.7287878787878788,0.9488225374063054,0.7287878787878789,0.21024775505065918
