,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
1,DAVIS,16,0,maml,0.7523737496255155,0.7631184407796102,0.7973390228268972,0.7631184407796101,12.546395540237427
3,DAVIS,16,1,maml,0.6905127270652576,0.7316341829085458,0.7498393995167296,0.7316341829085458,4.9977335929870605
5,DAVIS,16,2,maml,0.7599454121050229,0.775112443778111,0.8299925654480262,0.775112443778111,6.702034950256348
7,DAVIS,16,3,maml,0.7803377290704945,0.8035982008995501,0.8250202823426521,0.8035982008995503,4.312801361083984
9,DAVIS,16,4,maml,0.7128552438850604,0.7811094452773613,0.849291285712994,0.7811094452773613,3.420729160308838
11,DAVIS,16,5,maml,0.7739687241170194,0.8200899550224888,0.8708490393751206,0.8200899550224888,4.372485876083374
13,DAVIS,16,6,maml,0.7619494318752966,0.8035982008995503,0.8587127905785437,0.8035982008995504,3.253713369369507
15,DAVIS,16,7,maml,0.6956854480040877,0.782608695652174,0.8403218779942916,0.782608695652174,2.111992597579956
17,DAVIS,16,8,maml,0.72591453119082,0.7721139430284858,0.8431149249113131,0.7721139430284858,3.9289019107818604
19,DAVIS,16,9,maml,0.7014961993720812,0.7826086956521738,0.8569308061113557,0.782608695652174,2.20790958404541
21,DAVIS,16,0,maml,0.8919882377931071,0.8668639053254438,0.876799533975672,0.8668639053254439,2.126127004623413
23,DAVIS,16,1,maml,0.8729876158541783,0.8461538461538461,0.821421285164771,0.8461538461538461,2.159057855606079
25,DAVIS,16,2,maml,0.89606952867562,0.871301775147929,0.8478228875572302,0.8713017751479291,2.2710649967193604
27,DAVIS,16,3,maml,0.8935078232063253,0.8698224852071006,0.8762836714799138,0.8698224852071006,2.2213964462280273
29,DAVIS,16,4,maml,0.9188538092939825,0.9038461538461537,0.9055334069057515,0.9038461538461537,2.2877981662750244
31,DAVIS,16,5,maml,0.9067579379729065,0.8964497041420119,0.9061043166027654,0.8964497041420119,1.98091721534729
33,DAVIS,16,6,maml,0.8998589832112163,0.8860946745562129,0.8748418619637612,0.886094674556213,2.2491817474365234
35,DAVIS,16,7,maml,0.9178144908883343,0.893491124260355,0.8895849385963097,0.8934911242603549,2.112042188644409
37,DAVIS,16,8,maml,0.890763470737028,0.8653846153846154,0.8598153615414516,0.8653846153846154,2.343597888946533
39,DAVIS,16,9,maml,0.8940712134956783,0.8653846153846154,0.8649511612385314,0.8653846153846154,2.242192506790161
41,DAVIS,16,0,maml,0.7868618476438914,0.834319526627219,0.8594574932399517,0.834319526627219,1.980851650238037
43,DAVIS,16,1,maml,0.7609726769358564,0.8017751479289941,0.8005284930366082,0.8017751479289941,2.2197375297546387
45,DAVIS,16,2,maml,0.8774578231990284,0.863905325443787,0.8780969124478744,0.863905325443787,2.212857961654663
47,DAVIS,16,3,maml,0.7738086881248688,0.8165680473372781,0.8481029157341,0.8165680473372781,1.8304057121276855
49,DAVIS,16,4,maml,0.8519449262466944,0.8653846153846154,0.8655021650591448,0.8653846153846154,3.3754091262817383
51,DAVIS,16,5,maml,0.8893124206145523,0.871301775147929,0.8744224410719796,0.8713017751479291,2.1531901359558105
53,DAVIS,16,6,maml,0.8696829480378108,0.856508875739645,0.8049408809822196,0.856508875739645,2.265808343887329
55,DAVIS,16,7,maml,0.7596040538978571,0.7899408284023669,0.8044658956745927,0.7899408284023668,1.9510502815246582
57,DAVIS,16,8,maml,0.7939063268397627,0.7781065088757396,0.7843956261649427,0.7781065088757397,2.2767333984375
59,DAVIS,16,9,maml,0.7611998636136214,0.7855029585798817,0.7767221712644201,0.7855029585798816,2.3797011375427246
61,DAVIS,16,0,maml,0.6731700957632635,0.8045112781954887,0.911853429464726,0.8045112781954887,1.994739055633545
63,DAVIS,16,1,maml,0.6679568004637613,0.7988721804511278,0.8691626991940905,0.7988721804511278,4.697564125061035
65,DAVIS,16,2,maml,0.8013489486703772,0.9003759398496242,0.9619581295038653,0.9003759398496239,2.2858009338378906
67,DAVIS,16,3,maml,0.7753748996304713,0.8646616541353384,0.9463330243053674,0.8646616541353385,4.058215618133545
69,DAVIS,16,4,maml,0.6587665496306049,0.8007518796992481,0.9134845123498732,0.8007518796992482,4.393822431564331
71,DAVIS,16,5,maml,0.6333153292290264,0.7593984962406015,0.8849468021147141,0.7593984962406015,1.9547128677368164
73,DAVIS,16,6,maml,0.6377788220551378,0.8233082706766918,0.9318328224045274,0.8233082706766918,3.6690921783447266
75,DAVIS,16,7,maml,0.7036805514746691,0.7669172932330827,0.8796284695759835,0.7669172932330827,2.939176559448242
77,DAVIS,16,8,maml,0.6751395082222149,0.8477443609022557,0.9413656182882006,0.8477443609022556,3.618962526321411
79,DAVIS,16,9,maml,0.6072132781099346,0.7462406015037594,0.8736475075354784,0.7462406015037595,4.362640142440796
81,DAVIS,16,0,maml,0.6091887910069729,0.729490022172949,0.8510831414097181,0.729490022172949,3.53163743019104
83,DAVIS,16,1,maml,0.6153751551478824,0.7605321507760533,0.9003887263664263,0.7605321507760532,2.1837801933288574
85,DAVIS,16,2,maml,0.7314404549698668,0.8403547671840355,0.9124968848379637,0.8403547671840355,2.9149582386016846
87,DAVIS,16,3,maml,0.5786316492198845,0.7206208425720622,0.869682440796305,0.720620842572062,4.039038419723511
89,DAVIS,16,4,maml,0.6068970969979536,0.6940133037694013,0.8555881040925316,0.6940133037694013,2.235619306564331
91,DAVIS,16,5,maml,0.6083721394221869,0.7694013303769401,0.8965496110769225,0.7694013303769401,3.720794439315796
93,DAVIS,16,6,maml,0.5749672405516562,0.7849223946784922,0.911314794726088,0.7849223946784922,3.152440071105957
95,DAVIS,16,7,maml,0.6173053587826316,0.7627494456762749,0.8926692999035101,0.7627494456762749,3.231498956680298
97,DAVIS,16,8,maml,0.5852350030921459,0.7228381374722839,0.8640720231776557,0.7228381374722838,3.2835144996643066
99,DAVIS,16,9,maml,0.5785451372131399,0.6984478935698448,0.8533362942217487,0.6984478935698447,3.47873854637146
101,DAVIS,16,0,maml,0.5375736961451247,0.8158730158730159,0.9666092309777827,0.8158730158730159,2.6570398807525635
103,DAVIS,16,1,maml,0.7007936507936507,0.9015873015873016,0.9837178619501915,0.9015873015873016,1.96427583694458
105,DAVIS,16,2,maml,0.43274643190609574,0.892063492063492,0.984290865793622,0.892063492063492,2.9386751651763916
107,DAVIS,16,3,maml,0.6131725417439703,0.8952380952380953,0.9831897696155398,0.8952380952380952,2.3052990436553955
109,DAVIS,16,4,maml,0.5260770975056689,0.9079365079365079,0.9859248482284271,0.9079365079365078,2.05705189704895
111,DAVIS,16,5,maml,0.5625258799171843,0.8634920634920634,0.977212915127659,0.8634920634920634,1.878075122833252
113,DAVIS,16,6,maml,0.5949134199134198,0.8603174603174604,0.9761196867781519,0.8603174603174604,1.7428712844848633
115,DAVIS,16,7,maml,0.6364856947563714,0.8825396825396826,0.9804020696917916,0.8825396825396825,1.8971664905548096
