,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
0,DAVIS,16,0,multitask,0.48742219592638014,0.5622188905547226,0.6737185826288801,0.5622188905547226,9.971146821975708
2,DAVIS,16,1,multitask,0.6854657708249716,0.7406296851574213,0.7411481363032539,0.7406296851574212,5.296210527420044
4,DAVIS,16,2,multitask,0.4858272907540315,0.4932533733133433,0.5845347837927821,0.49325337331334335,6.846245527267456
6,DAVIS,16,3,multitask,0.4109390448630538,0.4002998500749625,0.4874988619667364,0.40029985007496255,4.880410194396973
8,DAVIS,16,4,multitask,0.6821044510484057,0.7031484257871066,0.7240090368964074,0.7031484257871065,1.0754361152648926
10,DAVIS,16,5,multitask,0.3058889262922183,0.18890554722638678,0.4080700663493728,0.1889055472263868,1.0081932544708252
12,DAVIS,16,6,multitask,0.45122010016516134,0.5022488755622189,0.5947155441523183,0.502248875562219,1.0201842784881592
14,DAVIS,16,7,multitask,0.5025314552821868,0.5667166416791605,0.6336854443725837,0.5667166416791604,1.0003681182861328
16,DAVIS,16,8,multitask,0.3288723528372824,0.2563718140929535,0.42815336483521005,0.2563718140929535,1.0006825923919678
18,DAVIS,16,9,multitask,0.5253021616080191,0.5352323838080959,0.6576192069015504,0.5352323838080959,1.0090947151184082
20,DAVIS,16,0,multitask,0.3663924330820143,0.21745562130177512,0.36106746721746374,0.21745562130177518,1.0068552494049072
22,DAVIS,16,1,multitask,0.4848450052977025,0.4718934911242604,0.5287423497242175,0.4718934911242604,1.021650791168213
24,DAVIS,16,2,multitask,0.5164035687901664,0.5133136094674556,0.5548100448702221,0.5133136094674556,1.0150458812713623
26,DAVIS,16,3,multitask,0.5059536886234863,0.46597633136094674,0.48894135723903615,0.46597633136094674,1.0138840675354004
28,DAVIS,16,4,multitask,0.4549055984843496,0.37721893491124264,0.4288989314182078,0.3772189349112426,1.8402183055877686
30,DAVIS,16,5,multitask,0.5977484161745168,0.5843195266272189,0.632630994062626,0.584319526627219,1.218651294708252
32,DAVIS,16,6,multitask,0.4974621698915721,0.5029585798816568,0.591594337738128,0.5029585798816568,1.0466861724853516
