,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
2,BindingDB_IC50,16,0,protonet,0.8823099873031136,0.8765419447552179,0.8455972594814172,0.8765419447552179,0.954416036605835
7,BindingDB_IC50,16,1,protonet,0.8846050775775602,0.8391374271825932,0.7390159008555868,0.8391362215963892,0.5034611225128174
12,BindingDB_IC50,16,2,protonet,0.8937316871392601,0.876374368272829,0.8248341064084186,0.8763743682728291,0.4355649948120117
17,BindingDB_IC50,16,3,protonet,0.7353856682688478,0.7647021237606573,0.7677700972815964,0.7647021237606574,0.4107506275177002
22,BindingDB_IC50,16,4,protonet,0.8993416146754603,0.8841383434281085,0.8321459169290466,0.8841371378419043,0.43403005599975586
27,BindingDB_IC50,16,5,protonet,0.8832595681962122,0.8637446471972532,0.8281611028653764,0.8637446471972533,0.46430206298828125
32,BindingDB_IC50,16,6,protonet,0.8816199970124204,0.8583797885884032,0.7979441796428752,0.8583797885884032,0.5413198471069336
37,BindingDB_IC50,16,7,protonet,0.847263341867524,0.8565002796959992,0.8286765768126811,0.8565002796959993,0.45968198776245117
42,BindingDB_IC50,16,8,protonet,0.8671902955827703,0.8356448439489217,0.770310705781811,0.8356448439489218,0.732435941696167
47,BindingDB_IC50,16,9,protonet,0.8930455335209967,0.8772978473052737,0.8195026136872379,0.8772978473052737,0.5166404247283936
52,BindingDB_IC50,16,0,protonet,0.6080871438763159,0.6298781652534279,0.6204015082287122,0.629878165253428,0.3081214427947998
57,BindingDB_IC50,16,1,protonet,0.6818154337847784,0.650175651321745,0.6077376672835307,0.650175651321745,0.3455502986907959
62,BindingDB_IC50,16,2,protonet,0.6614785042486204,0.6976305757875241,0.7438748725113028,0.6976305757875242,0.30380964279174805
67,BindingDB_IC50,16,3,protonet,0.6799097840981284,0.7280269747278028,0.762950065442686,0.7280269747278028,0.35718345642089844
72,BindingDB_IC50,16,4,protonet,0.730127848835203,0.7295218795937181,0.7432965196297024,0.7295218795937181,0.2979423999786377
77,BindingDB_IC50,16,5,protonet,0.6415305973615504,0.6404255495851641,0.614114294599298,0.640425549585164,0.30028295516967773
82,BindingDB_IC50,16,6,protonet,0.6291284836141464,0.6205100947603585,0.5937244701143444,0.6205100947603585,0.2943847179412842
87,BindingDB_IC50,16,7,protonet,0.6459892936640343,0.6806800156134508,0.7365251571656712,0.6806800156134508,0.32288122177124023
92,BindingDB_IC50,16,8,protonet,0.6286551867442356,0.6700828011195177,0.6985818473442336,0.6700828011195177,0.3425586223602295
97,BindingDB_IC50,16,9,protonet,0.6106265614613985,0.6449517893180743,0.6897309156381989,0.6449517893180742,0.2951529026031494
