,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
23952,BindingDB_Kd,16,0,protonet,0.9445684657223119,0.9833679833679834,0.9949697855103261,0.9833679833679834,0.13385248184204102
23957,BindingDB_Kd,16,1,protonet,0.943756499910346,0.9688149688149688,0.9879803382914492,0.9688149688149688,0.1009368896484375
23962,BindingDB_Kd,16,2,protonet,0.9401487626183982,0.9771309771309771,0.9923614618349709,0.9771309771309771,0.11320924758911133
23967,BindingDB_Kd,16,3,protonet,0.9727153188691648,0.9875259875259876,0.995565674341509,0.9875259875259875,0.12897849082946777
23972,BindingDB_Kd,16,4,protonet,0.943756499910346,0.9688149688149688,0.9879803382914492,0.9688149688149688,0.09990215301513672
23977,BindingDB_Kd,16,5,protonet,0.9607495069033529,0.9812889812889812,0.993261053286888,0.9812889812889812,0.09703516960144043
23982,BindingDB_Kd,16,6,protonet,0.9524886877828054,0.9563409563409564,0.9786932570093354,0.9563409563409564,0.1103506088256836
23987,BindingDB_Kd,16,7,protonet,0.944173724716711,0.975051975051975,0.9913871474682285,0.975051975051975,0.09767889976501465
23992,BindingDB_Kd,16,8,protonet,0.9113267074805536,0.9293139293139294,0.9591310039574501,0.9293139293139293,0.13364768028259277
23997,BindingDB_Kd,16,9,protonet,0.9685314685314685,0.9812889812889813,0.9928041022781542,0.9812889812889813,0.13187789916992188
24002,BindingDB_Kd,16,0,protonet,0.7857011150681443,0.8526315789473684,0.918901140188456,0.8526315789473684,0.14974093437194824
24007,BindingDB_Kd,16,1,protonet,0.814450987506661,0.8631578947368421,0.9243903772704488,0.8631578947368421,0.13844513893127441
24012,BindingDB_Kd,16,2,protonet,0.7539720611235143,0.8736842105263158,0.9355428029745609,0.8736842105263158,0.11076068878173828
24017,BindingDB_Kd,16,3,protonet,0.724148401719054,0.8065789473684211,0.8937363569981442,0.8065789473684211,0.10581398010253906
24022,BindingDB_Kd,16,4,protonet,0.6832267753279162,0.7986842105263158,0.8918788096420539,0.7986842105263159,0.1145169734954834
24027,BindingDB_Kd,16,5,protonet,0.5952208402245309,0.7684210526315789,0.880037843823718,0.768421052631579,0.11934065818786621
24032,BindingDB_Kd,16,6,protonet,0.723908706624563,0.8671052631578947,0.9300988020930809,0.8671052631578948,0.1574387550354004
24037,BindingDB_Kd,16,7,protonet,0.7423677142577914,0.8105263157894738,0.8804022770191207,0.8105263157894738,0.1358811855316162
24042,BindingDB_Kd,16,8,protonet,0.8012338657719094,0.8710526315789473,0.9307356556856812,0.8710526315789474,0.1350548267364502
24047,BindingDB_Kd,16,9,protonet,0.69942603913368,0.825,0.9137398994205432,0.8250000000000001,0.13436269760131836
24052,BindingDB_Kd,16,0,protonet,0.8941449836062838,0.9031635802469135,0.9102726662454768,0.9031635802469136,0.13942718505859375
24057,BindingDB_Kd,16,1,protonet,0.8671969990246755,0.9039351851851852,0.9140506792766311,0.9039351851851852,0.15384221076965332
24062,BindingDB_Kd,16,2,protonet,0.8905557111315177,0.8846450617283951,0.865840328610814,0.8846450617283951,0.13960671424865723
24067,BindingDB_Kd,16,3,protonet,0.9137142802815297,0.9184027777777777,0.9158879143024251,0.9184027777777778,0.1373438835144043
24072,BindingDB_Kd,16,4,protonet,0.8833084824927041,0.8805941358024691,0.8714745915501203,0.8805941358024691,0.14084482192993164
24077,BindingDB_Kd,16,5,protonet,0.8815457959212912,0.9064429012345679,0.9092847149969723,0.9064429012345679,0.13709783554077148
24082,BindingDB_Kd,16,6,protonet,0.8579507650593674,0.9110725308641976,0.9387838811608795,0.9110725308641975,0.0981595516204834
24087,BindingDB_Kd,16,7,protonet,0.8680990536852004,0.8933256172839507,0.9162647713011508,0.8933256172839507,0.10064196586608887
24092,BindingDB_Kd,16,8,protonet,0.8391428411433495,0.8695987654320988,0.902167996050214,0.8695987654320988,0.14220237731933594
24097,BindingDB_Kd,16,9,protonet,0.840896955873012,0.8996913580246914,0.9112073383913001,0.8996913580246914,0.14205646514892578
24102,BindingDB_Kd,16,0,protonet,0.8313121830939562,0.8243944636678201,0.8091258250136302,0.8243944636678201,0.1324903964996338
24107,BindingDB_Kd,16,1,protonet,0.8433767162358834,0.8140138408304498,0.752367552018893,0.8140138408304498,0.09855484962463379
24112,BindingDB_Kd,16,2,protonet,0.7478001806365344,0.7301038062283737,0.6976031346583812,0.7301038062283737,0.10132002830505371
24117,BindingDB_Kd,16,3,protonet,0.8628398048964321,0.8114186851211073,0.7366314722415042,0.8114186851211073,0.09920191764831543
24122,BindingDB_Kd,16,4,protonet,0.7633766814721954,0.7153979238754326,0.682514008990802,0.7153979238754324,0.10251975059509277
24127,BindingDB_Kd,16,5,protonet,0.7697799153625557,0.7716262975778546,0.7818322177139384,0.7716262975778547,0.09736824035644531
24132,BindingDB_Kd,16,6,protonet,0.8555802230535021,0.852076124567474,0.8166312636117339,0.8520761245674742,0.10527539253234863
24137,BindingDB_Kd,16,7,protonet,0.8720926086437328,0.8356401384083044,0.8029839913209592,0.8356401384083045,0.09845376014709473
24142,BindingDB_Kd,16,8,protonet,0.7562312810116062,0.7647058823529412,0.7479966321450536,0.7647058823529411,0.10389566421508789
24147,BindingDB_Kd,16,9,protonet,0.7720339574928272,0.773356401384083,0.7682728031669541,0.773356401384083,0.10377383232116699
24152,BindingDB_Kd,16,0,protonet,0.7072566007275771,0.7734204793028322,0.8400961854820318,0.7734204793028322,0.10257434844970703
24157,BindingDB_Kd,16,1,protonet,0.5738609521201712,0.5751633986928104,0.6137359684310274,0.5751633986928104,0.10186958312988281
24162,BindingDB_Kd,16,2,protonet,0.8003989344677898,0.8235294117647058,0.8369664201530973,0.8235294117647058,0.10268688201904297
24167,BindingDB_Kd,16,3,protonet,0.771155707332178,0.8039215686274509,0.8243525775560202,0.8039215686274509,0.10109210014343262
24172,BindingDB_Kd,16,4,protonet,0.8146037091586189,0.8485838779956427,0.8906318319846777,0.8485838779956427,0.10866260528564453
24177,BindingDB_Kd,16,5,protonet,0.6099433907159658,0.7167755991285403,0.7957513672961222,0.7167755991285403,0.11162996292114258
