,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
0,BindingDB_Ki,16,0,protonet,0.7348128385404892,0.7715320910973086,0.7995180277341473,0.7715320910973086,1.0017273426055908
5,BindingDB_Ki,16,1,protonet,0.7330033625655831,0.7256728778467909,0.746763594832073,0.7256728778467909,0.20000576972961426
10,BindingDB_Ki,16,2,protonet,0.7463926324205928,0.7909937888198757,0.7925424137104518,0.7909937888198758,0.18737292289733887
15,BindingDB_Ki,16,3,protonet,0.6751957608682689,0.7542443064182195,0.7675180825406124,0.7542443064182194,0.18488788604736328
20,BindingDB_Ki,16,4,protonet,0.7463034863255407,0.7833333333333334,0.8005166390093684,0.7833333333333333,0.18351507186889648
25,BindingDB_Ki,16,5,protonet,0.7371602501732447,0.748343685300207,0.7643542553325755,0.748343685300207,0.18665242195129395
30,BindingDB_Ki,16,6,protonet,0.7527723792742556,0.7800207039337475,0.7700784529286021,0.7800207039337475,0.18761873245239258
35,BindingDB_Ki,16,7,protonet,0.7040717137289274,0.7488612836438924,0.7745257301098162,0.7488612836438924,0.1874101161956787
40,BindingDB_Ki,16,8,protonet,0.724132628563454,0.7281573498964803,0.7329386761494591,0.7281573498964804,0.18654370307922363
45,BindingDB_Ki,16,9,protonet,0.6665563364452116,0.7305383022774327,0.7313858020855654,0.7305383022774327,0.1841881275177002
50,BindingDB_Ki,16,0,protonet,0.7051405661764792,0.794375,0.8534234121121329,0.7943750000000002,0.1783759593963623
55,BindingDB_Ki,16,1,protonet,0.7151979204307118,0.6475000000000001,0.6452801667382527,0.6475,0.18348288536071777
60,BindingDB_Ki,16,2,protonet,0.7068338240891963,0.760625,0.7800635369422253,0.760625,0.18311166763305664
65,BindingDB_Ki,16,3,protonet,0.8005022492453138,0.8412499999999999,0.8640536178400056,0.84125,0.1786651611328125
70,BindingDB_Ki,16,4,protonet,0.7482723118054826,0.784375,0.8094157927825574,0.784375,0.18399357795715332
75,BindingDB_Ki,16,5,protonet,0.7143924378515059,0.7787499999999999,0.8004745211083617,0.7787499999999999,0.18873214721679688
80,BindingDB_Ki,16,6,protonet,0.6867793121858882,0.746875,0.8100522705939135,0.7468750000000001,0.1845691204071045
