,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
2,KIBA,16,0,protonet,0.607328707615003,0.6523865744644965,0.7047402189011123,0.6523865744644965,0.13360142707824707
7,KIBA,16,1,protonet,0.65769995839429,0.6953955135773316,0.7075916132350946,0.6953955135773318,0.13766098022460938
12,KIBA,16,2,protonet,0.5741613569995184,0.566368696238826,0.5495984072643583,0.5663686962388261,0.13700032234191895
17,KIBA,16,3,protonet,0.5854853532045484,0.5424186203406982,0.5538919955617654,0.5424186203406982,0.13988184928894043
22,KIBA,16,4,protonet,0.5945366333854312,0.62152133580705,0.6284162152277093,0.62152133580705,0.138899564743042
27,KIBA,16,5,protonet,0.5747620184277521,0.6014504975543937,0.5908268659020096,0.6014504975543936,0.1356065273284912
32,KIBA,16,6,protonet,0.6266047607043661,0.6496879743632991,0.6761096840111538,0.6496879743632991,0.13736724853515625
37,KIBA,16,7,protonet,0.6055124973535063,0.5663686962388261,0.5619469795550679,0.5663686962388261,0.13829803466796875
42,KIBA,16,8,protonet,0.6386637273302129,0.6802158880080957,0.6572448068139545,0.6802158880080958,0.13919639587402344
47,KIBA,16,9,protonet,0.652279265660876,0.660651037274414,0.6703365440654483,0.660651037274414,0.14582061767578125
52,KIBA,16,0,protonet,0.5690622346362598,0.731951871657754,0.8617280803522747,0.731951871657754,0.2989187240600586
57,KIBA,16,1,protonet,0.7023299088471623,0.7866033560759726,0.8616541245404541,0.7866033560759726,0.15707850456237793
62,KIBA,16,2,protonet,0.6333869369018141,0.7509450488659413,0.8730605664602727,0.7509450488659415,0.15813302993774414
67,KIBA,16,3,protonet,0.35609336644492356,0.5523464871842154,0.7507282934968229,0.5523464871842154,0.15873312950134277
72,KIBA,16,4,protonet,0.5366034091706382,0.6532362161165406,0.8013547352833055,0.6532362161165407,0.15381360054016113
77,KIBA,16,5,protonet,0.4070150003399071,0.6306702931956482,0.7855215367988436,0.630670293195648,0.15650296211242676
82,KIBA,16,6,protonet,0.46844167928094993,0.6162294855246173,0.7679094505298771,0.6162294855246174,0.15847134590148926
87,KIBA,16,7,protonet,0.4553846520390852,0.5915314401622718,0.7491029493674881,0.5915314401622718,0.13698196411132812
92,KIBA,16,8,protonet,0.6699329973719447,0.766642080029504,0.8635203413612322,0.766642080029504,0.16187191009521484
97,KIBA,16,9,protonet,0.6024547958596003,0.7783053660335608,0.8829557492970419,0.7783053660335608,0.1707139015197754
102,KIBA,16,0,protonet,0.8115517231492194,0.8274794860831144,0.8356562352674843,0.8274794860831144,0.48046064376831055
107,KIBA,16,1,protonet,0.8490159009691439,0.8576649766864171,0.8664965089433865,0.8576649766864172,0.5179800987243652
112,KIBA,16,2,protonet,0.840612377171138,0.8505589151548469,0.8463130980729664,0.850558915154847,0.3160996437072754
117,KIBA,16,3,protonet,0.7298702866295508,0.7902591981756358,0.8103175963039982,0.7902591981756357,0.3327932357788086
122,KIBA,16,4,protonet,0.8143099585698708,0.8318978681815407,0.8434149528959889,0.8318978681815404,0.2460165023803711
127,KIBA,16,5,protonet,0.8424236408766799,0.8445829006576671,0.8417926653133252,0.844582900657667,0.2539854049682617
132,KIBA,16,6,protonet,0.8257872278250298,0.8353083704925376,0.8192730732916249,0.8353083704925377,0.3353846073150635
137,KIBA,16,7,protonet,0.850212064857236,0.8634068372935881,0.8511210166991912,0.8634068372935884,0.29674792289733887
142,KIBA,16,8,protonet,0.7766713633368368,0.7961435872375949,0.798755634920557,0.796143587237595,0.31574082374572754
147,KIBA,16,9,protonet,0.8179152949046296,0.8279986968826991,0.8308677663212554,0.827998696882699,0.32758355140686035
152,KIBA,16,0,protonet,0.5578740975139551,0.6816816816816816,0.7507019518120948,0.6816816816816816,0.10305452346801758
157,KIBA,16,1,protonet,0.4986386097913152,0.6104676104676106,0.7381382437873036,0.6104676104676104,0.10735440254211426
162,KIBA,16,2,protonet,0.5747250991638828,0.6666666666666667,0.7759619971340899,0.6666666666666666,0.10199308395385742
167,KIBA,16,3,protonet,0.6397293143148266,0.6821106821106822,0.7660800101109724,0.6821106821106822,0.10417628288269043
172,KIBA,16,4,protonet,0.5335925907673713,0.6563706563706565,0.7541778394036402,0.6563706563706564,0.10226988792419434
177,KIBA,16,5,protonet,0.5726748229020977,0.6915486915486916,0.7959885760724865,0.6915486915486915,0.10384154319763184
182,KIBA,16,6,protonet,0.4677726325340615,0.5585585585585586,0.6369379159565847,0.5585585585585585,0.1034238338470459
187,KIBA,16,7,protonet,0.5286818049963435,0.6087516087516088,0.7340294428047647,0.6087516087516087,0.14632964134216309
192,KIBA,16,8,protonet,0.39201160349145314,0.5873015873015873,0.7649342683642795,0.5873015873015872,0.13862347602844238
197,KIBA,16,9,protonet,0.4369707770976835,0.595881595881596,0.772809112943871,0.5958815958815958,0.13773369789123535
202,KIBA,16,0,protonet,0.788653813261271,0.8334613415258576,0.9035837054588227,0.8334613415258577,0.14042997360229492
207,KIBA,16,1,protonet,0.806197724406137,0.8671274961597543,0.9285016883568441,0.8671274961597542,0.1442263126373291
212,KIBA,16,2,protonet,0.8381755742628889,0.8895289298515104,0.9412006461641801,0.8895289298515106,0.11383581161499023
217,KIBA,16,3,protonet,0.8694498941241525,0.9130824372759857,0.9556478162171296,0.9130824372759856,0.11202859878540039
222,KIBA,16,4,protonet,0.8330785314882863,0.8904249871991807,0.9438828335952059,0.8904249871991807,0.10730791091918945
227,KIBA,16,5,protonet,0.7919966478592193,0.8461341525857655,0.9109026415089421,0.8461341525857655,0.10930228233337402
232,KIBA,16,6,protonet,0.8714311455492976,0.9125704045058883,0.9332590455273845,0.9125704045058884,0.1154782772064209
237,KIBA,16,7,protonet,0.8124006554864165,0.8862007168458781,0.9256254155932648,0.8862007168458781,0.11641168594360352
