,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
0,BindingDB_IC50,16,0,simplebsl,0.8222367831238374,0.8401718201458278,0.8205437210486666,0.8401718201458277,1.6867141723632812
5,BindingDB_IC50,16,1,simplebsl,0.8749359961783664,0.8462503857875854,0.7904523183281464,0.8462491802013812,0.4076707363128662
10,BindingDB_IC50,16,2,simplebsl,0.8478317616087384,0.8242749604567725,0.7740069206640932,0.8242761660429768,0.2714850902557373
15,BindingDB_IC50,16,3,simplebsl,0.8045798155033593,0.8080887600787007,0.8012094187917793,0.8080887600787006,0.2205061912536621
20,BindingDB_IC50,16,4,simplebsl,0.8301832579913009,0.8171499459897381,0.7724917862341293,0.817149945989738,0.2379469871520996
25,BindingDB_IC50,16,5,simplebsl,0.8546959058566563,0.8429591354500212,0.8129198685016455,0.8429603410362254,0.22962212562561035
30,BindingDB_IC50,16,6,simplebsl,0.8640116976715337,0.8519142297750859,0.8179816679281394,0.8519142297750859,0.2662198543548584
35,BindingDB_IC50,16,7,simplebsl,0.8580803035360508,0.8530161355657573,0.8224805963860773,0.8530149299795533,0.29849934577941895
40,BindingDB_IC50,16,8,simplebsl,0.7973336918471066,0.7807303923459743,0.7522879073880556,0.7807303923459743,0.27791500091552734
45,BindingDB_IC50,16,9,simplebsl,0.8635996035556225,0.8493017244705064,0.8129402334325098,0.8493017244705066,0.24800896644592285
50,BindingDB_IC50,16,0,simplebsl,0.603432528178534,0.6470778762384871,0.6846458347303819,0.6470778762384872,0.1931760311126709
55,BindingDB_IC50,16,1,simplebsl,0.556209798114502,0.5612786419619795,0.5771452537998711,0.5612786419619796,0.19985580444335938
60,BindingDB_IC50,16,2,simplebsl,0.5954884406534723,0.6467539801842055,0.6953694309658569,0.6467539801842055,0.17906618118286133
65,BindingDB_IC50,16,3,simplebsl,0.6353960605438735,0.7103289621207718,0.760723007100654,0.7103289621207718,0.19983601570129395
70,BindingDB_IC50,16,4,simplebsl,0.6928433949313659,0.7351942130571636,0.7732464628394105,0.7351942130571636,0.1810455322265625
75,BindingDB_IC50,16,5,simplebsl,0.7146409853364928,0.7210590570472307,0.7372220559102823,0.7210590570472306,0.17969131469726562
80,BindingDB_IC50,16,6,simplebsl,0.5489446058928475,0.5365628815121793,0.5326020949193607,0.5365628815121792,0.17986559867858887
85,BindingDB_IC50,16,7,simplebsl,0.606462518951487,0.622960077735053,0.6478661946076805,0.622960077735053,0.18711519241333008
90,BindingDB_IC50,16,8,simplebsl,0.5951270739329735,0.6335240721208547,0.6814945915682793,0.6335240721208548,0.20493364334106445
95,BindingDB_IC50,16,9,simplebsl,0.588307986140911,0.6292137630907988,0.650131082032322,0.6292137630907988,0.17937660217285156
100,BindingDB_IC50,16,0,simplebsl,0.6166414141414142,0.7974358974358975,0.9375948836009009,0.7974358974358975,0.12318158149719238
105,BindingDB_IC50,16,1,simplebsl,0.3777216059066122,0.6974358974358974,0.9221213508308499,0.6974358974358974,0.11901450157165527
110,BindingDB_IC50,16,2,simplebsl,0.4858891235705751,0.7076923076923076,0.8995647947449462,0.7076923076923077,0.12236928939819336
115,BindingDB_IC50,16,3,simplebsl,0.5757112332112332,0.9,0.9772874286822539,0.9,0.11974358558654785
120,BindingDB_IC50,16,4,simplebsl,0.8004445502897516,0.9256410256410257,0.9812099370849273,0.9256410256410257,0.14272451400756836
125,BindingDB_IC50,16,5,simplebsl,0.3881915962227161,0.7230769230769232,0.9277859291023107,0.7230769230769232,0.15133190155029297
130,BindingDB_IC50,16,6,simplebsl,0.40625345065562457,0.7743589743589744,0.9432067304776338,0.7743589743589743,0.15204429626464844
