,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
23950,BindingDB_Kd,16,0,simplebsl,0.9394967777320717,0.9688149688149689,0.9886073385445315,0.9688149688149688,0.15070199966430664
23955,BindingDB_Kd,16,1,simplebsl,0.9462566091525366,0.9792099792099792,0.9931375626497576,0.9792099792099792,0.12561750411987305
23960,BindingDB_Kd,16,2,simplebsl,0.9400646586881405,0.975051975051975,0.9915236492711386,0.975051975051975,0.12378406524658203
23965,BindingDB_Kd,16,3,simplebsl,0.9080624503701427,0.9646569646569646,0.988386323569292,0.9646569646569647,0.1453723907470703
23970,BindingDB_Kd,16,4,simplebsl,0.9663050624589087,0.9854469854469854,0.9949246487004832,0.9854469854469854,0.12465310096740723
23975,BindingDB_Kd,16,5,simplebsl,0.829068367529906,0.9376299376299375,0.9792967156447976,0.9376299376299376,0.11584758758544922
23980,BindingDB_Kd,16,6,simplebsl,0.902905108531707,0.9542619542619543,0.983841996960384,0.9542619542619544,0.11586451530456543
23985,BindingDB_Kd,16,7,simplebsl,0.9011212643565583,0.9604989604989604,0.9867780325017166,0.9604989604989604,0.11045479774475098
23990,BindingDB_Kd,16,8,simplebsl,0.9458921645156462,0.9771309771309771,0.992147349894839,0.9771309771309771,0.1327054500579834
23995,BindingDB_Kd,16,9,simplebsl,0.8701150157032509,0.9604989604989604,0.9878454734088644,0.9604989604989606,0.1503610610961914
24000,BindingDB_Kd,16,0,simplebsl,0.6974598924383408,0.7618421052631579,0.8359513329707893,0.761842105263158,0.1536388397216797
24005,BindingDB_Kd,16,1,simplebsl,0.7198823468908189,0.8289473684210527,0.9046820748783767,0.8289473684210525,0.15836572647094727
24010,BindingDB_Kd,16,2,simplebsl,0.6773037207771863,0.781578947368421,0.8599902970079296,0.7815789473684212,0.12985634803771973
24015,BindingDB_Kd,16,3,simplebsl,0.7224079407888251,0.8276315789473684,0.8980982497070545,0.8276315789473684,0.13260817527770996
24020,BindingDB_Kd,16,4,simplebsl,0.7475408813827175,0.8552631578947368,0.9286203593674197,0.8552631578947368,0.12883901596069336
24025,BindingDB_Kd,16,5,simplebsl,0.586478680735782,0.7092105263157895,0.8127949123203682,0.7092105263157895,0.1580674648284912
24030,BindingDB_Kd,16,6,simplebsl,0.6428873508153972,0.6960526315789474,0.7858062830336552,0.6960526315789474,0.16292047500610352
24035,BindingDB_Kd,16,7,simplebsl,0.647556834449471,0.775,0.8647418781212988,0.775,0.16643404960632324
24040,BindingDB_Kd,16,8,simplebsl,0.6789706039167213,0.7592105263157894,0.8326229170652539,0.7592105263157894,0.1429300308227539
24045,BindingDB_Kd,16,9,simplebsl,0.6654454931269449,0.7855263157894737,0.8462472183461817,0.7855263157894736,0.1484365463256836
24050,BindingDB_Kd,16,0,simplebsl,0.9193373493520475,0.9207175925925927,0.9161752622177602,0.9207175925925926,0.15535426139831543
24055,BindingDB_Kd,16,1,simplebsl,0.8784803616642981,0.8549382716049383,0.8375602361210084,0.8549382716049383,0.15636134147644043
24060,BindingDB_Kd,16,2,simplebsl,0.7534574136200377,0.7837577160493827,0.7899347210948866,0.7837577160493827,0.20167994499206543
24065,BindingDB_Kd,16,3,simplebsl,0.8834615174111358,0.918016975308642,0.935730127486785,0.918016975308642,0.1510770320892334
24070,BindingDB_Kd,16,4,simplebsl,0.885576631107257,0.8954475308641976,0.9044917516802169,0.8954475308641975,0.1492006778717041
24075,BindingDB_Kd,16,5,simplebsl,0.8304069585426491,0.8979552469135803,0.9261738131475662,0.8979552469135803,0.15301108360290527
24080,BindingDB_Kd,16,6,simplebsl,0.833063701310081,0.8817515432098766,0.9224753993453283,0.8817515432098766,0.12447643280029297
24085,BindingDB_Kd,16,7,simplebsl,0.779231066189273,0.8622685185185185,0.9113437646762406,0.8622685185185185,0.12576985359191895
24090,BindingDB_Kd,16,8,simplebsl,0.7871565065204276,0.8780864197530864,0.9198166100483424,0.8780864197530864,0.1257164478302002
24095,BindingDB_Kd,16,9,simplebsl,0.8828659045458744,0.9158950617283951,0.9376607271192683,0.915895061728395,0.14814138412475586
24100,BindingDB_Kd,16,0,simplebsl,0.7828450304011965,0.7802768166089965,0.8077234883823756,0.7802768166089965,0.15108513832092285
24105,BindingDB_Kd,16,1,simplebsl,0.8355639121175679,0.8088235294117647,0.7947324887935366,0.8088235294117647,0.14413237571716309
24110,BindingDB_Kd,16,2,simplebsl,0.7507598474423605,0.7474048442906575,0.7275559538279093,0.7474048442906573,0.1245579719543457
24115,BindingDB_Kd,16,3,simplebsl,0.8153669977060549,0.8200692041522492,0.8089447302068411,0.820069204152249,0.12096405029296875
24120,BindingDB_Kd,16,4,simplebsl,0.7351085569790614,0.7136678200692042,0.7020633515137352,0.7136678200692042,0.12510013580322266
