,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
1,BindingDB_Ki,16,0,simplebsl,0.6621928798843875,0.7189440993788819,0.7544742460796846,0.7189440993788819,0.13963985443115234
6,BindingDB_Ki,16,1,simplebsl,0.6039659935903545,0.6220496894409938,0.6441254542502619,0.6221532091097309,0.1871039867401123
11,BindingDB_Ki,16,2,simplebsl,0.768942382835649,0.7655279503105591,0.7589435711867755,0.765527950310559,0.18931007385253906
16,BindingDB_Ki,16,3,simplebsl,0.6895792750026305,0.7406832298136645,0.759469166091703,0.7406832298136645,0.1883561611175537
21,BindingDB_Ki,16,4,simplebsl,0.638977988222804,0.6917184265010352,0.6804046560908413,0.6917184265010351,0.1830744743347168
26,BindingDB_Ki,16,5,simplebsl,0.7732122122600101,0.7851966873706004,0.7686837622701779,0.7853002070393375,0.18422818183898926
31,BindingDB_Ki,16,6,simplebsl,0.7537707057811305,0.7727743271221531,0.7478047274115383,0.7727743271221532,0.1860361099243164
36,BindingDB_Ki,16,7,simplebsl,0.5919749232158447,0.6595238095238095,0.7102141806364145,0.6595238095238096,0.18477106094360352
41,BindingDB_Ki,16,8,simplebsl,0.7503349238175305,0.7612836438923396,0.7598596149996454,0.7612836438923396,0.18335318565368652
46,BindingDB_Ki,16,9,simplebsl,0.6750854775463158,0.6897515527950311,0.7091463826174516,0.6898550724637681,0.18329477310180664
51,BindingDB_Ki,16,0,simplebsl,0.8027700331270854,0.788125,0.7917619908665029,0.7881250000000001,0.18233656883239746
56,BindingDB_Ki,16,1,simplebsl,0.6457224884116616,0.6693749999999999,0.7220535051919142,0.669375,0.1826004981994629
61,BindingDB_Ki,16,2,simplebsl,0.7925523046428999,0.7525,0.7455040551216883,0.7525000000000001,0.1833035945892334
66,BindingDB_Ki,16,3,simplebsl,0.8183280551376919,0.7812500000000001,0.741146888196937,0.78125,0.18134856224060059
71,BindingDB_Ki,16,4,simplebsl,0.7936579871940792,0.783125,0.8045334146813976,0.783125,0.18445396423339844
76,BindingDB_Ki,16,5,simplebsl,0.7227471664075177,0.7306250000000001,0.7079998646332657,0.730625,0.18329977989196777
81,BindingDB_Ki,16,6,simplebsl,0.7988510656279938,0.771875,0.7799460575054173,0.771875,0.18435168266296387
86,BindingDB_Ki,16,7,simplebsl,0.7847629051297111,0.7631249999999999,0.7423878261135957,0.763125,0.18166518211364746
91,BindingDB_Ki,16,8,simplebsl,0.7843694555779274,0.7512500000000001,0.7275666306264859,0.75125,0.18641424179077148
96,BindingDB_Ki,16,9,simplebsl,0.795121207186157,0.7675000000000001,0.7662727994383002,0.7675,0.18326306343078613
101,BindingDB_Ki,16,0,simplebsl,0.6906381012882482,0.6636879603912571,0.6626042590629385,0.6636879603912571,0.18647456169128418
106,BindingDB_Ki,16,1,simplebsl,0.6639754003885051,0.7202028740490279,0.7664278032769034,0.7202028740490278,0.18536734580993652
111,BindingDB_Ki,16,2,simplebsl,0.7673046777331971,0.7601135128607657,0.7514250688991345,0.7601135128607656,0.18546199798583984
116,BindingDB_Ki,16,3,simplebsl,0.7180821406423102,0.7440526506460572,0.7963830611172039,0.7440526506460573,0.18752479553222656
121,BindingDB_Ki,16,4,simplebsl,0.732281066316284,0.7664533268928873,0.7705824891519726,0.766392947711629,0.18570208549499512
126,BindingDB_Ki,16,5,simplebsl,0.6784328125796362,0.7172442941673711,0.7311879308637018,0.7173046733486294,0.18736004829406738
131,BindingDB_Ki,16,6,simplebsl,0.7505832536485235,0.7878879362395846,0.8219487037755009,0.7880086946021012,0.18597102165222168
136,BindingDB_Ki,16,7,simplebsl,0.7771922774771833,0.817956768506219,0.8297516964024196,0.817956768506219,0.18621325492858887
141,BindingDB_Ki,16,8,simplebsl,0.8244639025889536,0.8180171476874774,0.8068109273936356,0.8180171476874774,0.18605756759643555
146,BindingDB_Ki,16,9,simplebsl,0.6766785759059567,0.7229803163869096,0.7438353597351917,0.7229803163869096,0.1854245662689209
151,BindingDB_Ki,16,0,simplebsl,0.6870060207400095,0.6664867312112559,0.6183455080546729,0.6664867312112558,0.21024155616760254
156,BindingDB_Ki,16,1,simplebsl,0.6871269157789656,0.7016321887116621,0.6772546160674858,0.7016321887116622,0.21094655990600586
161,BindingDB_Ki,16,2,simplebsl,0.7281350120546246,0.7132989714657194,0.6950099882230822,0.7132989714657194,0.20946645736694336
166,BindingDB_Ki,16,3,simplebsl,0.697705709168779,0.7163114392514686,0.7047317244278832,0.7163114392514685,0.20960426330566406
171,BindingDB_Ki,16,4,simplebsl,0.6953418403380622,0.7039771540015323,0.6844365500854633,0.7039771540015324,0.21218013763427734
176,BindingDB_Ki,16,5,simplebsl,0.6204263973396137,0.6640547003784448,0.6617050879216445,0.6640547003784449,0.20903420448303223
181,BindingDB_Ki,16,6,simplebsl,0.6576682676110591,0.6122913329154187,0.5964390827463926,0.6122913329154188,0.21042633056640625
186,BindingDB_Ki,16,7,simplebsl,0.7422669927973724,0.7522811172250471,0.7375212689678868,0.752281117225047,0.20979809761047363
191,BindingDB_Ki,16,8,simplebsl,0.632724189890345,0.6359499431171787,0.6271818796317234,0.6359499431171787,0.20983529090881348
196,BindingDB_Ki,16,9,simplebsl,0.662742210162541,0.6593705741682337,0.6297618115623926,0.6593705741682339,0.21108102798461914
