,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
0,KIBA,16,0,simplebsl,0.7510033894058474,0.7547647158036769,0.6995492890673931,0.7547647158036768,1.6846296787261963
5,KIBA,16,1,simplebsl,0.711854473068013,0.7016360263113508,0.6731796941533171,0.7016360263113509,0.15328693389892578
10,KIBA,16,2,simplebsl,0.6216648076235023,0.605329735199865,0.5590860329193128,0.605329735199865,0.14943647384643555
15,KIBA,16,3,simplebsl,0.7068097999431762,0.7063585764884465,0.6972676682254685,0.7063585764884466,0.15328145027160645
20,KIBA,16,4,simplebsl,0.7347031192827134,0.711249789171867,0.6958073534772614,0.7112497891718671,0.1624128818511963
25,KIBA,16,5,simplebsl,0.7271481230250638,0.697250801146905,0.69486305448644,0.6972508011469051,0.15193986892700195
30,KIBA,16,6,simplebsl,0.7226590875760084,0.7373924776522179,0.7462841392072567,0.7373924776522179,0.14930510520935059
35,KIBA,16,7,simplebsl,0.7451410697976342,0.7099004891212684,0.6778257928284739,0.7099004891212684,0.14789557456970215
40,KIBA,16,8,simplebsl,0.7053145483119874,0.7065272389947714,0.6868289340326664,0.7065272389947715,0.15987944602966309
45,KIBA,16,9,simplebsl,0.6864690006370968,0.7131050767414403,0.716731903208825,0.7131050767414404,0.13980770111083984
50,KIBA,16,0,simplebsl,0.6157949873222627,0.7101004978794025,0.835170365836748,0.7101004978794025,0.16843152046203613
55,KIBA,16,1,simplebsl,0.7688231217033543,0.8526645768025077,0.9191936480847434,0.8526645768025078,0.16353416442871094
60,KIBA,16,2,simplebsl,0.761771553354547,0.8330721003134796,0.9011795923392099,0.8330721003134796,0.17859792709350586
65,KIBA,16,3,simplebsl,0.6607238049440012,0.7658122810252628,0.8719277140775805,0.7658122810252628,0.16725492477416992
70,KIBA,16,4,simplebsl,0.7485751282399902,0.8308132030241565,0.9019766045222721,0.8308132030241563,0.16504478454589844
75,KIBA,16,5,simplebsl,0.6230714147476675,0.7341646690023971,0.8563005956068138,0.7341646690023972,0.16661453247070312
