,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
3,BindingDB_IC50,16,0,simsearch,0.861584895582724,0.8449013348250454,0.8073781155520245,0.8449013348250453,1.4362986087799072
8,BindingDB_IC50,16,1,simsearch,0.8951296856927539,0.8707213745611666,0.8257854270093474,0.8707213745611666,0.8301081657409668
13,BindingDB_IC50,16,2,simsearch,0.8873926631539811,0.8619326511322867,0.8040848050504587,0.8619326511322865,0.5515494346618652
18,BindingDB_IC50,16,3,simsearch,0.8439133636503174,0.8178262798503144,0.7809687584526271,0.8178262798503144,0.5540862083435059
23,BindingDB_IC50,16,4,simsearch,0.8949359850071317,0.8767083156514024,0.8443654161728391,0.8767083156514023,0.5832500457763672
28,BindingDB_IC50,16,5,simsearch,0.8750856499639178,0.8455656128235792,0.8056971013759355,0.8455656128235793,0.6821529865264893
33,BindingDB_IC50,16,6,simsearch,0.8911294100302767,0.8719800065583889,0.8221652422909254,0.871980006558389,0.9145376682281494
38,BindingDB_IC50,16,7,simsearch,0.8534140995800561,0.8504627039851858,0.81998036574174,0.8504627039851859,0.6033158302307129
43,BindingDB_IC50,16,8,simsearch,0.8693562612842807,0.8430194147602331,0.8135711999933233,0.843019414760233,0.843113899230957
48,BindingDB_IC50,16,9,simsearch,0.8830329351671219,0.8572332761081749,0.7976769210368155,0.8572332761081748,0.8611798286437988
53,BindingDB_IC50,16,0,simsearch,0.6605012421188019,0.6958283849213929,0.731817717270985,0.6958283849213929,0.46968936920166016
58,BindingDB_IC50,16,1,simsearch,0.7119890107240433,0.7178948417477098,0.6799546708193089,0.7178948417477099,0.5055172443389893
63,BindingDB_IC50,16,2,simsearch,0.624791947317024,0.6727154946889353,0.7014339240416418,0.6727154946889351,0.5112547874450684
68,BindingDB_IC50,16,3,simsearch,0.6765013784556343,0.7371957245720835,0.7853281178770485,0.7371957245720835,0.488419771194458
73,BindingDB_IC50,16,4,simsearch,0.6819158945635375,0.747921666985026,0.7848227518506509,0.747921666985026,0.412933349609375
78,BindingDB_IC50,16,5,simsearch,0.6774871209223828,0.6759959803669161,0.6581083382109405,0.6759959803669161,0.37126803398132324
83,BindingDB_IC50,16,6,simsearch,0.5852321383242807,0.5254590603692415,0.5101158408419457,0.5254590603692414,0.3350794315338135
88,BindingDB_IC50,16,7,simsearch,0.6346218166891033,0.6984776885448762,0.7230992742650231,0.6984776885448762,0.45535993576049805
93,BindingDB_IC50,16,8,simsearch,0.630747985608008,0.6882126751322576,0.7346817577855662,0.6882126751322576,0.39930105209350586
98,BindingDB_IC50,16,9,simsearch,0.6954552734393468,0.73225423348753,0.7640209710754275,0.7322542334875299,0.3712005615234375
103,BindingDB_IC50,16,0,simsearch,0.7077106227106227,0.8307692307692308,0.9508663620530292,0.8307692307692307,0.031411170959472656
108,BindingDB_IC50,16,1,simsearch,0.42049980326578795,0.7512820512820513,0.9363550268439891,0.7512820512820513,0.0313720703125
113,BindingDB_IC50,16,2,simsearch,0.6323869047619047,0.7615384615384615,0.9189174588677028,0.7615384615384616,0.031517982482910156
118,BindingDB_IC50,16,3,simsearch,0.8058393719806763,0.9205128205128206,0.9789091854961587,0.9205128205128205,0.05239081382751465
123,BindingDB_IC50,16,4,simsearch,0.9227124183006535,0.9717948717948718,0.9927123956535722,0.9717948717948717,0.05256843566894531
128,BindingDB_IC50,16,5,simsearch,0.6866083916083916,0.8743589743589744,0.9687499985386282,0.8743589743589744,0.0532684326171875
133,BindingDB_IC50,16,6,simsearch,0.7438396244278597,0.923076923076923,0.9818497400593962,0.9230769230769231,0.05342221260070801
138,BindingDB_IC50,16,7,simsearch,0.5376417536711654,0.8512820512820514,0.9656247033276094,0.8512820512820513,0.042024850845336914
143,BindingDB_IC50,16,8,simsearch,0.668890243902439,0.7769230769230768,0.9233022934267943,0.7769230769230769,0.04743552207946777
148,BindingDB_IC50,16,9,simsearch,0.7320863194776237,0.8948717948717948,0.9728955273268919,0.8948717948717949,0.041327714920043945
153,BindingDB_IC50,16,0,simsearch,0.7026059767237831,0.787593984962406,0.8811902319407294,0.7875939849624061,0.04749345779418945
158,BindingDB_IC50,16,1,simsearch,0.7666477132862424,0.8515037593984962,0.9022364788490059,0.8515037593984962,0.06066441535949707
163,BindingDB_IC50,16,2,simsearch,0.6587720296649742,0.755639097744361,0.8483282910652965,0.7556390977443609,0.060281991958618164
168,BindingDB_IC50,16,3,simsearch,0.5880900519172598,0.706766917293233,0.8301419661069163,0.7067669172932332,0.04732203483581543
173,BindingDB_IC50,16,4,simsearch,0.8006274876532764,0.8402255639097744,0.8948744896480221,0.8402255639097744,0.047187089920043945
178,BindingDB_IC50,16,5,simsearch,0.8382384581795888,0.8665413533834587,0.9170186135803738,0.8665413533834587,0.04708099365234375
183,BindingDB_IC50,16,6,simsearch,0.7983192873144414,0.8515037593984963,0.9041737734064642,0.8515037593984962,0.059358835220336914
188,BindingDB_IC50,16,7,simsearch,0.6816948497726527,0.7575187969924811,0.8527245125887815,0.7575187969924811,0.060378074645996094
193,BindingDB_IC50,16,8,simsearch,0.5993354611123007,0.7161654135338346,0.8465681520090517,0.7161654135338346,0.05973505973815918
198,BindingDB_IC50,16,9,simsearch,0.8565774868593212,0.8890977443609023,0.9299701860382688,0.8890977443609023,0.046837806701660156
203,BindingDB_IC50,16,0,simsearch,0.46216244073386936,0.8964285714285715,0.9835869665333127,0.8964285714285715,0.03845834732055664
208,BindingDB_IC50,16,1,simsearch,0.7667594310451453,0.9535714285714286,0.9923645895448222,0.9535714285714285,0.03815579414367676
213,BindingDB_IC50,16,2,simsearch,0.9047619047619047,0.975,0.9956154155608586,0.975,0.04892849922180176
218,BindingDB_IC50,16,3,simsearch,0.3580716902145473,0.7821428571428571,0.9574535616642558,0.7821428571428573,0.04877805709838867
223,BindingDB_IC50,16,4,simsearch,0.6922077922077923,0.9357142857142857,0.9893260709333086,0.9357142857142857,0.049376726150512695
