,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
23953,BindingDB_Kd,16,0,simsearch,0.7756983212865566,0.9521829521829521,0.9862060556797398,0.9521829521829522,0.05920577049255371
23958,BindingDB_Kd,16,1,simsearch,0.9273141922180383,0.9521829521829522,0.979110967953362,0.9521829521829522,0.05897998809814453
23963,BindingDB_Kd,16,2,simsearch,0.76927759632868,0.9293139293139293,0.9786362839852543,0.9293139293139293,0.03453636169433594
23968,BindingDB_Kd,16,3,simsearch,0.9704231665770127,0.9896049896049895,0.9966327566854922,0.9896049896049897,0.043755531311035156
23973,BindingDB_Kd,16,4,simsearch,0.8295501507039968,0.9459459459459458,0.980751549407608,0.945945945945946,0.046585798263549805
23978,BindingDB_Kd,16,5,simsearch,0.895758941912788,0.9604989604989604,0.9863302258247937,0.9604989604989606,0.0461428165435791
23983,BindingDB_Kd,16,6,simsearch,0.8589943581322892,0.9334719334719335,0.9753242762577088,0.9334719334719335,0.046642303466796875
23988,BindingDB_Kd,16,7,simsearch,0.9537087912087912,0.9812889812889812,0.9937602582339424,0.9812889812889812,0.04581022262573242
23993,BindingDB_Kd,16,8,simsearch,0.7261460761460761,0.9085239085239085,0.9669489975816783,0.9085239085239085,0.05845165252685547
23998,BindingDB_Kd,16,9,simsearch,0.9671597633136093,0.9833679833679834,0.9939020789279134,0.9833679833679834,0.05823516845703125
24003,BindingDB_Kd,16,0,simsearch,0.2820442785693319,0.32763157894736844,0.5796063495046319,0.3276315789473684,0.06925320625305176
24008,BindingDB_Kd,16,1,simsearch,0.4798774760817173,0.6026315789473684,0.7389034283453337,0.6026315789473683,0.06959915161132812
24013,BindingDB_Kd,16,2,simsearch,0.3941710885679117,0.4934210526315789,0.6873121010872911,0.4934210526315789,0.053994178771972656
24018,BindingDB_Kd,16,3,simsearch,0.36931065498984994,0.55,0.7187049014085523,0.55,0.054079532623291016
24023,BindingDB_Kd,16,4,simsearch,0.42085176401585733,0.5328947368421053,0.7068649957860829,0.5328947368421053,0.0532221794128418
24028,BindingDB_Kd,16,5,simsearch,0.2607086067062943,0.29210526315789476,0.5553468130985665,0.2921052631578947,0.06526494026184082
24033,BindingDB_Kd,16,6,simsearch,0.342324873268016,0.45,0.6608545170548118,0.45065789473684215,0.06761479377746582
24038,BindingDB_Kd,16,7,simsearch,0.326354940315403,0.3302631578947368,0.5512130846598864,0.33026315789473687,0.06840634346008301
24043,BindingDB_Kd,16,8,simsearch,0.4714143925631605,0.6118421052631579,0.7571710530504966,0.611842105263158,0.0680093765258789
24048,BindingDB_Kd,16,9,simsearch,0.46273723800173033,0.6052631578947367,0.7409453491299681,0.6052631578947368,0.06763744354248047
24053,BindingDB_Kd,16,0,simsearch,0.9422252999064786,0.9402006172839505,0.9380435905293473,0.9402006172839507,0.14048981666564941
24058,BindingDB_Kd,16,1,simsearch,0.9200113649473326,0.9313271604938271,0.9424579951160893,0.9313271604938271,0.16761279106140137
24063,BindingDB_Kd,16,2,simsearch,0.964189569414559,0.9623842592592593,0.9633109666063906,0.9623842592592593,0.13835787773132324
24068,BindingDB_Kd,16,3,simsearch,0.9402567672088243,0.9519675925925926,0.9648177480195803,0.9519675925925927,0.13807082176208496
24073,BindingDB_Kd,16,4,simsearch,0.8969170207963234,0.9020061728395062,0.8720326429895539,0.9020061728395062,0.13872885704040527
24078,BindingDB_Kd,16,5,simsearch,0.9014995346841155,0.9185956790123457,0.9406725474625646,0.9185956790123457,0.10772418975830078
24083,BindingDB_Kd,16,6,simsearch,0.8624735263164864,0.9041280864197532,0.9315034561737501,0.9041280864197532,0.07946896553039551
24088,BindingDB_Kd,16,7,simsearch,0.8687870295153229,0.8989197530864197,0.9331638512250932,0.8989197530864197,0.0821986198425293
24093,BindingDB_Kd,16,8,simsearch,0.9101089781757572,0.9363425925925926,0.9557993124440316,0.9363425925925927,0.13830280303955078
24098,BindingDB_Kd,16,9,simsearch,0.9070690366062566,0.9255401234567902,0.9468498664257994,0.9255401234567902,0.13721013069152832
24103,BindingDB_Kd,16,0,simsearch,0.7692406463313581,0.7577854671280277,0.7953211412174596,0.7577854671280277,0.0724632740020752
24108,BindingDB_Kd,16,1,simsearch,0.7020336476880972,0.7093425605536332,0.6542390707054329,0.7093425605536332,0.056392669677734375
24113,BindingDB_Kd,16,2,simsearch,0.6173632993738688,0.6868512110726643,0.7086789574424965,0.6868512110726642,0.056203365325927734
24118,BindingDB_Kd,16,3,simsearch,0.7312576874468518,0.7292387543252595,0.7011173879810405,0.7292387543252595,0.056005239486694336
24123,BindingDB_Kd,16,4,simsearch,0.7537886416107578,0.7024221453287197,0.7067414575236478,0.7024221453287197,0.05672812461853027
24128,BindingDB_Kd,16,5,simsearch,0.802524883444657,0.8044982698961938,0.8360489243236062,0.8044982698961937,0.056528329849243164
24133,BindingDB_Kd,16,6,simsearch,0.8218978191979915,0.8269896193771626,0.7860008439890454,0.8269896193771626,0.057114362716674805
24138,BindingDB_Kd,16,7,simsearch,0.8571657715931865,0.8442906574394464,0.8041113607415966,0.8442906574394463,0.056243896484375
24143,BindingDB_Kd,16,8,simsearch,0.7074803406109194,0.7188581314878894,0.7333683175856999,0.7188581314878892,0.056769609451293945
24148,BindingDB_Kd,16,9,simsearch,0.6637267258524953,0.7136678200692042,0.7894432252845034,0.7136678200692042,0.056679725646972656
24153,BindingDB_Kd,16,0,simsearch,0.4946432378530362,0.5403050108932462,0.6307378840669285,0.5403050108932462,0.055151939392089844
24158,BindingDB_Kd,16,1,simsearch,0.5926696579787776,0.5555555555555556,0.5818444022323405,0.5555555555555556,0.054714202880859375
24163,BindingDB_Kd,16,2,simsearch,0.6138167810433492,0.5915032679738561,0.6235596263335865,0.5915032679738562,0.0549015998840332
24168,BindingDB_Kd,16,3,simsearch,0.5557137485806718,0.5664488017429193,0.6246534595839559,0.5664488017429194,0.040067434310913086
24173,BindingDB_Kd,16,4,simsearch,0.6175599810516306,0.6034858387799564,0.699291866466576,0.6034858387799564,0.040055274963378906
24178,BindingDB_Kd,16,5,simsearch,0.5012821619167954,0.588235294117647,0.6396601148968502,0.5882352941176471,0.040010929107666016
24183,BindingDB_Kd,16,6,simsearch,0.47025730553829664,0.46078431372549017,0.5629482639792951,0.4607843137254902,0.054207801818847656
24188,BindingDB_Kd,16,7,simsearch,0.4890685835277949,0.5130718954248366,0.5847573484631101,0.5130718954248366,0.05405449867248535
24193,BindingDB_Kd,16,8,simsearch,0.4842604973292358,0.5163398692810458,0.5864175136052341,0.5163398692810457,0.054293155670166016
24198,BindingDB_Kd,16,9,simsearch,0.5735526834315006,0.6263616557734204,0.6732316676167759,0.6263616557734205,0.053971052169799805
24203,BindingDB_Kd,16,0,simsearch,0.3669846005865818,0.5136363636363637,0.7599486005246467,0.5136363636363637,0.054006099700927734
24208,BindingDB_Kd,16,1,simsearch,0.39226179773978687,0.509090909090909,0.7646384355934368,0.509090909090909,0.052999019622802734
24213,BindingDB_Kd,16,2,simsearch,0.3106770520534644,0.49696969696969695,0.7698889519186094,0.496969696969697,0.03943300247192383
24218,BindingDB_Kd,16,3,simsearch,0.3283774321065567,0.543939393939394,0.7880558043416098,0.543939393939394,0.05338263511657715
24223,BindingDB_Kd,16,4,simsearch,0.39904699827973483,0.49393939393939384,0.7659708851793794,0.49393939393939396,0.0687553882598877
24228,BindingDB_Kd,16,5,simsearch,0.41387741275877565,0.5227272727272727,0.7792801803981418,0.5227272727272727,0.06801557540893555
24233,BindingDB_Kd,16,6,simsearch,0.40341123412863306,0.6136363636363636,0.8086652961198275,0.6136363636363636,0.06784772872924805
24238,BindingDB_Kd,16,7,simsearch,0.24388259916103083,0.41363636363636364,0.7110187975118942,0.4136363636363636,0.0744781494140625
24243,BindingDB_Kd,16,8,simsearch,0.38525111353977043,0.5136363636363637,0.7244449627876969,0.5136363636363637,0.05413341522216797
24248,BindingDB_Kd,16,9,simsearch,0.4287761551210808,0.6181818181818182,0.8086513601216533,0.6181818181818182,0.047278642654418945
24253,BindingDB_Kd,16,0,simsearch,0.9614096142098861,0.9619123189843285,0.9622944253077257,0.9619123189843286,0.12508606910705566
24258,BindingDB_Kd,16,1,simsearch,0.9623235878677817,0.9650862924023011,0.9685406853845571,0.9650862924023011,0.10173201560974121
24263,BindingDB_Kd,16,2,simsearch,0.9564573185650986,0.965681412418171,0.9738141192874666,0.9656814124181711,0.1396169662475586
24268,BindingDB_Kd,16,3,simsearch,0.9451233771611975,0.960126958936719,0.9715276362070709,0.9601269589367188,0.0972895622253418
24273,BindingDB_Kd,16,4,simsearch,0.974216123399798,0.9744098393175957,0.9772226871738029,0.9744098393175957,0.07945942878723145
24278,BindingDB_Kd,16,5,simsearch,0.9732547971124068,0.9761951993652054,0.9807619862601412,0.9761951993652054,0.08001065254211426
24283,BindingDB_Kd,16,6,simsearch,0.9207630552390794,0.9454473318785955,0.9603596311975675,0.9454473318785955,0.10604095458984375
24288,BindingDB_Kd,16,7,simsearch,0.9362511418596545,0.9549692521325134,0.9677503513874719,0.9549692521325134,0.10562586784362793
24293,BindingDB_Kd,16,8,simsearch,0.9530268648336718,0.9543741321166435,0.9527090568370116,0.9543741321166436,0.10597372055053711
24298,BindingDB_Kd,16,9,simsearch,0.9401672076141395,0.9529855187462806,0.9652552358943763,0.9529855187462805,0.10624027252197266
24303,BindingDB_Kd,16,0,simsearch,0.5276954807875472,0.5322222222222223,0.5891442167144034,0.5322222222222223,0.045945167541503906
