,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
6053,DAVIS,16,0,simsearch,0.7397726481107814,0.719640179910045,0.7392552352563668,0.7196401799100449,0.0451807975769043
6058,DAVIS,16,1,simsearch,0.6055323694328374,0.7286356821589206,0.8048500711008824,0.7286356821589206,0.03527235984802246
6063,DAVIS,16,2,simsearch,0.7101972038330333,0.7226386806596702,0.7336925156447331,0.7226386806596702,0.03579306602478027
6068,DAVIS,16,3,simsearch,0.8530029217604391,0.8515742128935533,0.8712192040710278,0.8515742128935533,0.04693770408630371
6073,DAVIS,16,4,simsearch,0.7911494127210679,0.8140929535232384,0.8303758177136169,0.8140929535232383,0.04876875877380371
6078,DAVIS,16,5,simsearch,0.7553092091153883,0.7406296851574212,0.7743847970011295,0.7406296851574213,0.058982133865356445
6083,DAVIS,16,6,simsearch,0.6972503764452221,0.7136431784107946,0.7520025943460656,0.7136431784107946,0.05949854850769043
6088,DAVIS,16,7,simsearch,0.8112597651743858,0.7901049475262368,0.7957002157803642,0.7901049475262368,0.05894899368286133
6093,DAVIS,16,8,simsearch,0.6833426749870479,0.7256371814092953,0.803553168164177,0.7256371814092953,0.05939626693725586
6098,DAVIS,16,9,simsearch,0.7264665497767651,0.7586206896551725,0.80241646512264,0.7586206896551725,0.0590972900390625
6103,DAVIS,16,0,simsearch,0.6032488953139473,0.5325443786982249,0.5328059078258267,0.5325443786982249,0.06155967712402344
6108,DAVIS,16,1,simsearch,0.7020128319321178,0.6715976331360947,0.6667645646968448,0.6715976331360947,0.04525279998779297
6113,DAVIS,16,2,simsearch,0.5755327492353743,0.5251479289940828,0.5042211023645203,0.5251479289940828,0.048271894454956055
6118,DAVIS,16,3,simsearch,0.5540692209326168,0.4852071005917159,0.49172604899795996,0.485207100591716,0.06430912017822266
6123,DAVIS,16,4,simsearch,0.6765178703120704,0.6775147928994083,0.6806027198695143,0.6775147928994083,0.04810738563537598
6128,DAVIS,16,5,simsearch,0.6940782705118794,0.6701183431952663,0.6371646680723366,0.6701183431952662,0.04821276664733887
6133,DAVIS,16,6,simsearch,0.6569451313583632,0.5517751479289941,0.5401576068844097,0.5517751479289941,0.047693490982055664
6138,DAVIS,16,7,simsearch,0.6572774835775682,0.6257396449704142,0.6162255319681976,0.6257396449704142,0.04552435874938965
6143,DAVIS,16,8,simsearch,0.7150994442684285,0.7174556213017751,0.6990281792896867,0.7174556213017751,0.04790544509887695
6148,DAVIS,16,9,simsearch,0.6890951542645555,0.7011834319526626,0.657955363573126,0.7011834319526626,0.04806089401245117
6153,DAVIS,16,0,simsearch,0.7639198683594235,0.7322485207100591,0.6756083865912941,0.7322485207100592,0.04779458045959473
6158,DAVIS,16,1,simsearch,0.6271301289044027,0.6020710059171599,0.5807403173735098,0.6020710059171598,0.047347307205200195
6163,DAVIS,16,2,simsearch,0.6605200925127906,0.643491124260355,0.6179335528845508,0.643491124260355,0.04859781265258789
6168,DAVIS,16,3,simsearch,0.6186352776337714,0.6331360946745561,0.647711506562514,0.6331360946745562,0.04828834533691406
6173,DAVIS,16,4,simsearch,0.6156173255494176,0.5458579881656804,0.6267582606698634,0.5458579881656804,0.04846334457397461
6178,DAVIS,16,5,simsearch,0.6501534705235614,0.636094674556213,0.5993578103879939,0.636094674556213,0.04708576202392578
6183,DAVIS,16,6,simsearch,0.5678404930639268,0.4378698224852071,0.45868272807924193,0.4378698224852071,0.04729056358337402
6188,DAVIS,16,7,simsearch,0.583087483162923,0.6005917159763313,0.6146429904574918,0.6005917159763313,0.04714512825012207
6193,DAVIS,16,8,simsearch,0.6246510413274632,0.5739644970414202,0.5816646133888808,0.5739644970414202,0.04755759239196777
6198,DAVIS,16,9,simsearch,0.6246963237733051,0.6168639053254438,0.613704453156581,0.6168639053254438,0.05973076820373535
6203,DAVIS,16,0,simsearch,0.39484631247373236,0.5958646616541353,0.7887056301343356,0.5958646616541353,0.04736757278442383
6208,DAVIS,16,1,simsearch,0.2687347428510928,0.4793233082706767,0.7499004885155406,0.47932330827067665,0.06075477600097656
6213,DAVIS,16,2,simsearch,0.47233233405004743,0.7462406015037595,0.8986893510505959,0.7462406015037594,0.06333684921264648
6218,DAVIS,16,3,simsearch,0.3282714739975116,0.5394736842105263,0.7820854215769364,0.5394736842105263,0.06020975112915039
6223,DAVIS,16,4,simsearch,0.29989166162273584,0.4360902255639098,0.7250169372195442,0.43609022556390975,0.04694342613220215
6228,DAVIS,16,5,simsearch,0.3025641644933784,0.48684210526315785,0.7572768496529798,0.4868421052631579,0.04677319526672363
6233,DAVIS,16,6,simsearch,0.29971969207263327,0.5169172932330828,0.7270700520595235,0.5169172932330827,0.047849416732788086
6238,DAVIS,16,7,simsearch,0.3411452070203403,0.5169172932330827,0.7342844538787398,0.5169172932330828,0.047423601150512695
6243,DAVIS,16,8,simsearch,0.27513812562488804,0.41353383458646614,0.687624103433031,0.4135338345864662,0.047170162200927734
6248,DAVIS,16,9,simsearch,0.4698722033659921,0.6654135338345866,0.8167390714659996,0.6654135338345866,0.06074047088623047
6253,DAVIS,16,0,simsearch,0.2095529722740766,0.4368070953436807,0.7488135100567713,0.43680709534368073,0.048613548278808594
6258,DAVIS,16,1,simsearch,0.24388063342895278,0.541019955654102,0.8354387025977457,0.541019955654102,0.06345844268798828
6263,DAVIS,16,2,simsearch,0.2432284150141844,0.5720620842572062,0.8665338819127674,0.5720620842572062,0.06160712242126465
6268,DAVIS,16,3,simsearch,0.2925416938844049,0.47450110864745015,0.8071431341771389,0.4745011086474501,0.060831546783447266
6273,DAVIS,16,4,simsearch,0.2928745165655918,0.4944567627494457,0.8201152742275679,0.4944567627494457,0.06088519096374512
6278,DAVIS,16,5,simsearch,0.3112484078362577,0.647450110864745,0.8787107438852426,0.647450110864745,0.047566890716552734
6283,DAVIS,16,6,simsearch,0.22782671463510468,0.48558758314855877,0.762642011983175,0.4855875831485587,0.06129598617553711
6288,DAVIS,16,7,simsearch,0.34578589369287044,0.5831485587583148,0.851053960525999,0.5831485587583148,0.047029733657836914
6293,DAVIS,16,8,simsearch,0.23201016105638264,0.44567627494456763,0.7722817623486053,0.44567627494456763,0.060642242431640625
6298,DAVIS,16,9,simsearch,0.23618689801616632,0.5476718403547671,0.8507602549239238,0.5476718403547671,0.04687905311584473
6303,DAVIS,16,0,simsearch,0.18496946146879803,0.43174603174603177,0.8283740683125169,0.43174603174603177,0.04765653610229492
6308,DAVIS,16,1,simsearch,0.13915821928244287,0.4761904761904762,0.8818585721123557,0.47619047619047616,0.04752349853515625
6313,DAVIS,16,2,simsearch,0.38418120871537026,0.8444444444444443,0.975273645023153,0.8444444444444443,0.047586917877197266
6318,DAVIS,16,3,simsearch,0.1851796746306728,0.5904761904761904,0.9200828868676592,0.5904761904761905,0.04806923866271973
6323,DAVIS,16,4,simsearch,0.3773300229182582,0.8603174603174604,0.9790706633891706,0.8603174603174604,0.04737138748168945
6328,DAVIS,16,5,simsearch,0.20087338859191606,0.5936507936507937,0.8906241104101873,0.5936507936507937,0.04812026023864746
6333,DAVIS,16,6,simsearch,0.3610997732426304,0.6793650793650793,0.9122311106436221,0.6793650793650794,0.04815173149108887
6338,DAVIS,16,7,simsearch,0.21665545339014725,0.5333333333333333,0.8436130734893533,0.5333333333333333,0.04768848419189453
6343,DAVIS,16,8,simsearch,0.11489099245149141,0.3555555555555555,0.8346849437038242,0.35555555555555557,0.04704427719116211
