,task_name,task_size,random_seed,model,auprc,auroc,auprc_neg,auroc_neg,runtime
3,KIBA,16,0,simsearch,0.585917638074258,0.6260752234778209,0.6620026165866064,0.6260752234778209,0.8550209999084473
8,KIBA,16,1,simsearch,0.59014288474063,0.6350143363130376,0.6527795262436018,0.6350143363130376,0.12183356285095215
13,KIBA,16,2,simsearch,0.5514035751472162,0.5501770956316411,0.5480304061247062,0.5501770956316411,0.12606167793273926
18,KIBA,16,3,simsearch,0.48977720960878446,0.46719514251981786,0.5741574859839769,0.4671951425198178,0.09012651443481445
23,KIBA,16,4,simsearch,0.5641797535858508,0.5746331590487435,0.5882712196893117,0.5746331590487435,0.12194395065307617
28,KIBA,16,5,simsearch,0.5824600885985025,0.5535503457581379,0.5370639400108747,0.553550345758138,0.12028217315673828
33,KIBA,16,6,simsearch,0.5695395303625002,0.6027997976049925,0.6150823337000683,0.6027997976049924,0.11966156959533691
38,KIBA,16,7,simsearch,0.5652172007988003,0.5629954461123292,0.5697728819954082,0.5629954461123292,0.0897207260131836
43,KIBA,16,8,simsearch,0.5694109866780008,0.6254005734525215,0.6678864845427864,0.6254005734525215,0.12040257453918457
48,KIBA,16,9,simsearch,0.5651900627481296,0.6007758475290942,0.6279959937818044,0.6007758475290943,0.12051796913146973
53,KIBA,16,0,simsearch,0.35607280668639507,0.4491748109902268,0.6752239826370628,0.4491748109902268,0.31873369216918945
58,KIBA,16,1,simsearch,0.5768728281297189,0.6821639314032824,0.8211452257890395,0.6821639314032824,0.31886720657348633
63,KIBA,16,2,simsearch,0.5111587269724096,0.5918310898026922,0.7495076587699574,0.5918310898026923,0.31815290451049805
68,KIBA,16,3,simsearch,0.37719375787196185,0.5919924396090724,0.7950885082058983,0.5919924396090724,0.3180110454559326
73,KIBA,16,4,simsearch,0.6206040171230927,0.665913700903559,0.7830678787385709,0.665913700903559,0.2628214359283447
78,KIBA,16,5,simsearch,0.3159020122333024,0.48852111377466356,0.7317167662575434,0.48852111377466356,0.3249034881591797
