,task_name,task_size,task_prop,random_seed,hitrate,model,n_mols,query_prop,runtime
0,PPARG,16,0.05,0,0.06,clamp,50,0.00497893527384144,1.678410291671753
1,PPARG,16,0.05,0,0.08,clamp,100,0.00497893527384144,1.678410291671753
2,PPARG,16,0.05,0,0.06666666666666667,clamp,150,0.00497893527384144,1.678410291671753
3,PPARG,16,0.05,0,0.05,clamp,200,0.00497893527384144,1.678410291671753
4,PPARG,16,0.05,0,0.04,clamp,250,0.00497893527384144,1.678410291671753
5,PPARG,16,0.05,0,0.03333333333333333,clamp,300,0.00497893527384144,1.678410291671753
6,PPARG,16,0.05,0,0.02857142857142857,clamp,350,0.00497893527384144,1.678410291671753
7,PPARG,16,0.05,0,0.025,clamp,400,0.00497893527384144,1.678410291671753
8,PPARG,16,0.05,0,0.024444444444444446,clamp,450,0.00497893527384144,1.678410291671753
9,PPARG,16,0.05,0,0.022,clamp,500,0.00497893527384144,1.678410291671753
10,PPARG,16,0.05,0,0.02,clamp,550,0.00497893527384144,1.678410291671753
11,PPARG,16,0.05,0,0.02,clamp,600,0.00497893527384144,1.678410291671753
12,PPARG,16,0.05,0,0.018461538461538463,clamp,650,0.00497893527384144,1.678410291671753
13,PPARG,16,0.05,0,0.017142857142857144,clamp,700,0.00497893527384144,1.678410291671753
14,PPARG,16,0.05,0,0.016,clamp,750,0.00497893527384144,1.678410291671753
15,PPARG,16,0.05,0,0.015,clamp,800,0.00497893527384144,1.678410291671753
16,PPARG,16,0.05,0,0.015294117647058824,clamp,850,0.00497893527384144,1.678410291671753
17,PPARG,16,0.05,0,0.014444444444444444,clamp,900,0.00497893527384144,1.678410291671753
18,PPARG,16,0.05,0,0.01368421052631579,clamp,950,0.00497893527384144,1.678410291671753
19,PPARG,16,0.05,0,0.013,clamp,1000,0.00497893527384144,1.678410291671753
20,PPARG,16,0.05,0,0.012380952380952381,clamp,1050,0.00497893527384144,1.678410291671753
21,PPARG,16,0.05,0,0.012727272727272728,clamp,1100,0.00497893527384144,1.678410291671753
22,PPARG,16,0.05,0,0.01217391304347826,clamp,1150,0.00497893527384144,1.678410291671753
23,PPARG,16,0.05,0,0.011666666666666667,clamp,1200,0.00497893527384144,1.678410291671753
24,PPARG,16,0.05,0,0.0112,clamp,1250,0.00497893527384144,1.678410291671753
25,PPARG,16,0.05,0,0.011538461538461539,clamp,1300,0.00497893527384144,1.678410291671753
26,PPARG,16,0.05,0,0.011111111111111112,clamp,1350,0.00497893527384144,1.678410291671753
27,PPARG,16,0.05,0,0.010714285714285714,clamp,1400,0.00497893527384144,1.678410291671753
28,PPARG,16,0.05,0,0.011724137931034483,clamp,1450,0.00497893527384144,1.678410291671753
29,PPARG,16,0.05,0,0.011333333333333334,clamp,1500,0.00497893527384144,1.678410291671753
30,PPARG,16,0.05,0,0.01096774193548387,clamp,1550,0.00497893527384144,1.678410291671753
31,PPARG,16,0.05,0,0.010625,clamp,1600,0.00497893527384144,1.678410291671753
32,PPARG,16,0.05,0,0.010303030303030303,clamp,1650,0.00497893527384144,1.678410291671753
33,PPARG,16,0.05,0,0.01,clamp,1700,0.00497893527384144,1.678410291671753
34,PPARG,16,0.05,0,0.009714285714285713,clamp,1750,0.00497893527384144,1.678410291671753
35,PPARG,16,0.05,0,0.009444444444444445,clamp,1800,0.00497893527384144,1.678410291671753
36,PPARG,16,0.05,0,0.009189189189189189,clamp,1850,0.00497893527384144,1.678410291671753
37,PPARG,16,0.05,0,0.008947368421052631,clamp,1900,0.00497893527384144,1.678410291671753
38,PPARG,16,0.05,0,0.008717948717948718,clamp,1950,0.00497893527384144,1.678410291671753
39,PPARG,16,0.05,0,0.0085,clamp,2000,0.00497893527384144,1.678410291671753
40,PPARG,16,0.05,0,0.008292682926829269,clamp,2050,0.00497893527384144,1.678410291671753
41,PPARG,16,0.05,0,0.008095238095238095,clamp,2100,0.00497893527384144,1.678410291671753
42,PPARG,16,0.05,0,0.007906976744186046,clamp,2150,0.00497893527384144,1.678410291671753
43,PPARG,16,0.05,0,0.008181818181818182,clamp,2200,0.00497893527384144,1.678410291671753
44,PPARG,16,0.05,0,0.008,clamp,2250,0.00497893527384144,1.678410291671753
45,PPARG,16,0.05,0,0.00826086956521739,clamp,2300,0.00497893527384144,1.678410291671753
46,PPARG,16,0.05,0,0.008085106382978723,clamp,2350,0.00497893527384144,1.678410291671753
47,PPARG,16,0.05,0,0.007916666666666667,clamp,2400,0.00497893527384144,1.678410291671753
48,PPARG,16,0.05,0,0.007755102040816327,clamp,2450,0.00497893527384144,1.678410291671753
49,PPARG,16,0.05,0,0.0076,clamp,2500,0.00497893527384144,1.678410291671753
50,PPARG,16,0.05,0,0.007450980392156863,clamp,2550,0.00497893527384144,1.678410291671753
51,PPARG,16,0.05,0,0.007307692307692308,clamp,2600,0.00497893527384144,1.678410291671753
52,PPARG,16,0.05,0,0.007547169811320755,clamp,2650,0.00497893527384144,1.678410291671753
53,PPARG,16,0.05,0,0.007407407407407408,clamp,2700,0.00497893527384144,1.678410291671753
54,PPARG,16,0.05,0,0.007272727272727273,clamp,2750,0.00497893527384144,1.678410291671753
55,PPARG,16,0.05,0,0.007142857142857143,clamp,2800,0.00497893527384144,1.678410291671753
56,PPARG,16,0.05,0,0.007017543859649123,clamp,2850,0.00497893527384144,1.678410291671753
57,PPARG,16,0.05,0,0.006896551724137931,clamp,2900,0.00497893527384144,1.678410291671753
58,PPARG,16,0.05,0,0.006779661016949152,clamp,2950,0.00497893527384144,1.678410291671753
59,PPARG,16,0.05,0,0.006666666666666667,clamp,3000,0.00497893527384144,1.678410291671753
60,PPARG,16,0.05,0,0.006557377049180328,clamp,3050,0.00497893527384144,1.678410291671753
61,PPARG,16,0.05,0,0.0064516129032258064,clamp,3100,0.00497893527384144,1.678410291671753
62,PPARG,16,0.05,0,0.006349206349206349,clamp,3150,0.00497893527384144,1.678410291671753
63,PPARG,16,0.05,0,0.00625,clamp,3200,0.00497893527384144,1.678410291671753
