,task_name,task_size,task_prop,random_seed,hitrate,model,n_mols,query_prop,runtime
1911285,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.0,protonet,10,0.08912037037037036,0.5891132354736328
1911286,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.0,protonet,20,0.08912037037037036,0.5891132354736328
1911287,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.0,protonet,30,0.08912037037037036,0.5891132354736328
1911288,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.025,protonet,40,0.08912037037037036,0.5891132354736328
1911289,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.04,protonet,50,0.08912037037037036,0.5891132354736328
1911290,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.05,protonet,60,0.08912037037037036,0.5891132354736328
1911291,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.05714285714285714,protonet,70,0.08912037037037036,0.5891132354736328
1911292,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.05,protonet,80,0.08912037037037036,0.5891132354736328
1911293,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.05555555555555555,protonet,90,0.08912037037037036,0.5891132354736328
1911294,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.07,protonet,100,0.08912037037037036,0.5891132354736328
1911295,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.07272727272727272,protonet,110,0.08912037037037036,0.5891132354736328
1911296,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.075,protonet,120,0.08912037037037036,0.5891132354736328
1911297,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08461538461538462,protonet,130,0.08912037037037036,0.5891132354736328
1911298,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.09285714285714286,protonet,140,0.08912037037037036,0.5891132354736328
1911299,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08666666666666667,protonet,150,0.08912037037037036,0.5891132354736328
1911300,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08125,protonet,160,0.08912037037037036,0.5891132354736328
1911301,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.07647058823529412,protonet,170,0.08912037037037036,0.5891132354736328
1911302,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.07777777777777778,protonet,180,0.08912037037037036,0.5891132354736328
1911303,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.07894736842105263,protonet,190,0.08912037037037036,0.5891132354736328
1911304,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08,protonet,200,0.08912037037037036,0.5891132354736328
1911305,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08095238095238096,protonet,210,0.08912037037037036,0.5891132354736328
1911306,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.07727272727272727,protonet,220,0.08912037037037036,0.5891132354736328
1911307,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08695652173913043,protonet,230,0.08912037037037036,0.5891132354736328
1911308,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.0875,protonet,240,0.08912037037037036,0.5891132354736328
1911309,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.084,protonet,250,0.08912037037037036,0.5891132354736328
1911310,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08076923076923077,protonet,260,0.08912037037037036,0.5891132354736328
1911311,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08518518518518518,protonet,270,0.08912037037037036,0.5891132354736328
1911312,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.08571428571428572,protonet,280,0.08912037037037036,0.5891132354736328
1911313,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.0896551724137931,protonet,290,0.08912037037037036,0.5891132354736328
1911314,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.09333333333333334,protonet,300,0.08912037037037036,0.5891132354736328
1911315,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.0935483870967742,protonet,310,0.08912037037037036,0.5891132354736328
1911316,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.090625,protonet,320,0.08912037037037036,0.5891132354736328
1911317,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.09393939393939393,protonet,330,0.08912037037037036,0.5891132354736328
1911318,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.09411764705882353,protonet,340,0.08912037037037036,0.5891132354736328
1911319,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.09714285714285714,protonet,350,0.08912037037037036,0.5891132354736328
1911320,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.09722222222222222,protonet,360,0.08912037037037036,0.5891132354736328
1911321,SARSCoV2_3CLPro_Diamond,16,0.05,0,0.0972972972972973,protonet,370,0.08912037037037036,0.5891132354736328
