,task_name,task_size,task_prop,random_seed,hitrate,model,n_mols,query_prop,runtime
0,PPARG,16,0.05,0,0.08,simplebsl,50,0.00497893527384144,1.8225312232971191
1,PPARG,16,0.05,0,0.05,simplebsl,100,0.00497893527384144,1.8225312232971191
2,PPARG,16,0.05,0,0.04,simplebsl,150,0.00497893527384144,1.8225312232971191
3,PPARG,16,0.05,0,0.03,simplebsl,200,0.00497893527384144,1.8225312232971191
4,PPARG,16,0.05,0,0.024,simplebsl,250,0.00497893527384144,1.8225312232971191
5,PPARG,16,0.05,0,0.02,simplebsl,300,0.00497893527384144,1.8225312232971191
6,PPARG,16,0.05,0,0.017142857142857144,simplebsl,350,0.00497893527384144,1.8225312232971191
7,PPARG,16,0.05,0,0.015,simplebsl,400,0.00497893527384144,1.8225312232971191
8,PPARG,16,0.05,0,0.013333333333333334,simplebsl,450,0.00497893527384144,1.8225312232971191
9,PPARG,16,0.05,0,0.012,simplebsl,500,0.00497893527384144,1.8225312232971191
10,PPARG,16,0.05,0,0.01090909090909091,simplebsl,550,0.00497893527384144,1.8225312232971191
11,PPARG,16,0.05,0,0.011666666666666667,simplebsl,600,0.00497893527384144,1.8225312232971191
12,PPARG,16,0.05,0,0.010769230769230769,simplebsl,650,0.00497893527384144,1.8225312232971191
13,PPARG,16,0.05,0,0.01,simplebsl,700,0.00497893527384144,1.8225312232971191
14,PPARG,16,0.05,0,0.009333333333333334,simplebsl,750,0.00497893527384144,1.8225312232971191
15,PPARG,16,0.05,0,0.00875,simplebsl,800,0.00497893527384144,1.8225312232971191
16,PPARG,16,0.05,0,0.00823529411764706,simplebsl,850,0.00497893527384144,1.8225312232971191
17,PPARG,16,0.05,0,0.0077777777777777776,simplebsl,900,0.00497893527384144,1.8225312232971191
18,PPARG,16,0.05,0,0.007368421052631579,simplebsl,950,0.00497893527384144,1.8225312232971191
19,PPARG,16,0.05,0,0.008,simplebsl,1000,0.00497893527384144,1.8225312232971191
20,PPARG,16,0.05,0,0.007619047619047619,simplebsl,1050,0.00497893527384144,1.8225312232971191
21,PPARG,16,0.05,0,0.008181818181818182,simplebsl,1100,0.00497893527384144,1.8225312232971191
22,PPARG,16,0.05,0,0.00782608695652174,simplebsl,1150,0.00497893527384144,1.8225312232971191
23,PPARG,16,0.05,0,0.0075,simplebsl,1200,0.00497893527384144,1.8225312232971191
24,PPARG,16,0.05,0,0.008,simplebsl,1250,0.00497893527384144,1.8225312232971191
25,PPARG,16,0.05,0,0.008461538461538461,simplebsl,1300,0.00497893527384144,1.8225312232971191
26,PPARG,16,0.05,0,0.008148148148148147,simplebsl,1350,0.00497893527384144,1.8225312232971191
27,PPARG,16,0.05,0,0.007857142857142858,simplebsl,1400,0.00497893527384144,1.8225312232971191
28,PPARG,16,0.05,0,0.007586206896551724,simplebsl,1450,0.00497893527384144,1.8225312232971191
29,PPARG,16,0.05,0,0.007333333333333333,simplebsl,1500,0.00497893527384144,1.8225312232971191
30,PPARG,16,0.05,0,0.0070967741935483875,simplebsl,1550,0.00497893527384144,1.8225312232971191
31,PPARG,16,0.05,0,0.006875,simplebsl,1600,0.00497893527384144,1.8225312232971191
32,PPARG,16,0.05,0,0.006666666666666667,simplebsl,1650,0.00497893527384144,1.8225312232971191
33,PPARG,16,0.05,0,0.007647058823529412,simplebsl,1700,0.00497893527384144,1.8225312232971191
34,PPARG,16,0.05,0,0.008,simplebsl,1750,0.00497893527384144,1.8225312232971191
35,PPARG,16,0.05,0,0.0077777777777777776,simplebsl,1800,0.00497893527384144,1.8225312232971191
36,PPARG,16,0.05,0,0.009189189189189189,simplebsl,1850,0.00497893527384144,1.8225312232971191
37,PPARG,16,0.05,0,0.008947368421052631,simplebsl,1900,0.00497893527384144,1.8225312232971191
38,PPARG,16,0.05,0,0.008717948717948718,simplebsl,1950,0.00497893527384144,1.8225312232971191
39,PPARG,16,0.05,0,0.0085,simplebsl,2000,0.00497893527384144,1.8225312232971191
40,PPARG,16,0.05,0,0.008292682926829269,simplebsl,2050,0.00497893527384144,1.8225312232971191
41,PPARG,16,0.05,0,0.008095238095238095,simplebsl,2100,0.00497893527384144,1.8225312232971191
42,PPARG,16,0.05,0,0.007906976744186046,simplebsl,2150,0.00497893527384144,1.8225312232971191
43,PPARG,16,0.05,0,0.007727272727272728,simplebsl,2200,0.00497893527384144,1.8225312232971191
44,PPARG,16,0.05,0,0.007555555555555556,simplebsl,2250,0.00497893527384144,1.8225312232971191
45,PPARG,16,0.05,0,0.007391304347826087,simplebsl,2300,0.00497893527384144,1.8225312232971191
46,PPARG,16,0.05,0,0.00723404255319149,simplebsl,2350,0.00497893527384144,1.8225312232971191
47,PPARG,16,0.05,0,0.007083333333333333,simplebsl,2400,0.00497893527384144,1.8225312232971191
48,PPARG,16,0.05,0,0.0069387755102040816,simplebsl,2450,0.00497893527384144,1.8225312232971191
49,PPARG,16,0.05,0,0.0072,simplebsl,2500,0.00497893527384144,1.8225312232971191
50,PPARG,16,0.05,0,0.007058823529411765,simplebsl,2550,0.00497893527384144,1.8225312232971191
51,PPARG,16,0.05,0,0.006923076923076923,simplebsl,2600,0.00497893527384144,1.8225312232971191
52,PPARG,16,0.05,0,0.007169811320754717,simplebsl,2650,0.00497893527384144,1.8225312232971191
53,PPARG,16,0.05,0,0.007037037037037037,simplebsl,2700,0.00497893527384144,1.8225312232971191
54,PPARG,16,0.05,0,0.006909090909090909,simplebsl,2750,0.00497893527384144,1.8225312232971191
55,PPARG,16,0.05,0,0.0067857142857142855,simplebsl,2800,0.00497893527384144,1.8225312232971191
56,PPARG,16,0.05,0,0.006666666666666667,simplebsl,2850,0.00497893527384144,1.8225312232971191
57,PPARG,16,0.05,0,0.006551724137931035,simplebsl,2900,0.00497893527384144,1.8225312232971191
58,PPARG,16,0.05,0,0.006440677966101695,simplebsl,2950,0.00497893527384144,1.8225312232971191
59,PPARG,16,0.05,0,0.006333333333333333,simplebsl,3000,0.00497893527384144,1.8225312232971191
60,PPARG,16,0.05,0,0.006229508196721312,simplebsl,3050,0.00497893527384144,1.8225312232971191
61,PPARG,16,0.05,0,0.006129032258064516,simplebsl,3100,0.00497893527384144,1.8225312232971191
62,PPARG,16,0.05,0,0.006031746031746032,simplebsl,3150,0.00497893527384144,1.8225312232971191
63,PPARG,16,0.05,0,0.0059375,simplebsl,3200,0.00497893527384144,1.8225312232971191
64,PPARG,16,0.05,0,0.005846153846153846,simplebsl,3250,0.00497893527384144,1.8225312232971191
65,PPARG,16,0.05,0,0.006060606060606061,simplebsl,3300,0.00497893527384144,1.8225312232971191
66,PPARG,16,0.05,0,0.005970149253731343,simplebsl,3350,0.00497893527384144,1.8225312232971191
67,PPARG,16,0.05,0,0.0058823529411764705,simplebsl,3400,0.00497893527384144,1.8225312232971191
68,PPARG,16,0.05,0,0.006376811594202898,simplebsl,3450,0.00497893527384144,1.8225312232971191
69,PPARG,16,0.05,0,0.006285714285714286,simplebsl,3500,0.00497893527384144,1.8225312232971191
70,PPARG,16,0.05,0,0.006197183098591549,simplebsl,3550,0.00497893527384144,1.8225312232971191
71,PPARG,16,0.05,0,0.006388888888888889,simplebsl,3600,0.00497893527384144,1.8225312232971191
72,PPARG,16,0.05,0,0.006301369863013699,simplebsl,3650,0.00497893527384144,1.8225312232971191
73,PPARG,16,0.05,0,0.006216216216216216,simplebsl,3700,0.00497893527384144,1.8225312232971191
74,PPARG,16,0.05,0,0.0061333333333333335,simplebsl,3750,0.00497893527384144,1.8225312232971191
75,PPARG,16,0.05,0,0.0060526315789473685,simplebsl,3800,0.00497893527384144,1.8225312232971191
76,PPARG,16,0.05,0,0.0059740259740259745,simplebsl,3850,0.00497893527384144,1.8225312232971191
77,PPARG,16,0.05,0,0.005897435897435898,simplebsl,3900,0.00497893527384144,1.8225312232971191
78,PPARG,16,0.05,0,0.005822784810126582,simplebsl,3950,0.00497893527384144,1.8225312232971191
79,PPARG,16,0.05,0,0.00575,simplebsl,4000,0.00497893527384144,1.8225312232971191
80,PPARG,16,0.05,0,0.005925925925925926,simplebsl,4050,0.00497893527384144,1.8225312232971191
81,PPARG,16,0.05,0,0.005853658536585366,simplebsl,4100,0.00497893527384144,1.8225312232971191
82,PPARG,16,0.05,0,0.005783132530120482,simplebsl,4150,0.00497893527384144,1.8225312232971191
83,PPARG,16,0.05,0,0.005714285714285714,simplebsl,4200,0.00497893527384144,1.8225312232971191
84,PPARG,16,0.05,0,0.005647058823529412,simplebsl,4250,0.00497893527384144,1.8225312232971191
85,PPARG,16,0.05,0,0.005813953488372093,simplebsl,4300,0.00497893527384144,1.8225312232971191
86,PPARG,16,0.05,0,0.005747126436781609,simplebsl,4350,0.00497893527384144,1.8225312232971191
87,PPARG,16,0.05,0,0.005681818181818182,simplebsl,4400,0.00497893527384144,1.8225312232971191
88,PPARG,16,0.05,0,0.005842696629213483,simplebsl,4450,0.00497893527384144,1.8225312232971191
89,PPARG,16,0.05,0,0.0057777777777777775,simplebsl,4500,0.00497893527384144,1.8225312232971191
90,PPARG,16,0.05,0,0.005714285714285714,simplebsl,4550,0.00497893527384144,1.8225312232971191
91,PPARG,16,0.05,0,0.005652173913043478,simplebsl,4600,0.00497893527384144,1.8225312232971191
92,PPARG,16,0.05,0,0.005591397849462366,simplebsl,4650,0.00497893527384144,1.8225312232971191
93,PPARG,16,0.05,0,0.005531914893617021,simplebsl,4700,0.00497893527384144,1.8225312232971191
94,PPARG,16,0.05,0,0.0054736842105263155,simplebsl,4750,0.00497893527384144,1.8225312232971191
95,PPARG,16,0.05,0,0.005416666666666667,simplebsl,4800,0.00497893527384144,1.8225312232971191
96,PPARG,16,0.05,0,0.0053608247422680414,simplebsl,4850,0.00497893527384144,1.8225312232971191
97,PPARG,16,0.05,0,0.005306122448979592,simplebsl,4900,0.00497893527384144,1.8225312232971191
98,PPARG,16,0.05,0,0.0052525252525252525,simplebsl,4950,0.00497893527384144,1.8225312232971191
99,PPARG,16,0.05,0,0.0052,simplebsl,5000,0.00497893527384144,1.8225312232971191
100,PPARG,16,0.05,0,0.005148514851485149,simplebsl,5050,0.00497893527384144,1.8225312232971191
