TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.576+/-0.039,0.594+/-0.044,0.619+/-0.043,0.652+/-0.055
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.72+/-0.055,0.759+/-0.057,0.799+/-0.048,0.808+/-0.123
CHEMBL1119333,0.5,0.49857697037678794,0.0,0.0,0.716+/-0.042,0.751+/-0.047,0.78+/-0.047,0.824+/-0.04
CHEMBL1243966,0.5,0.49595994182766273,,,0.727+/-nan,0.718+/-nan,0.778+/-nan,0.756+/-nan
CHEMBL1243967,0.5,0.5,0.0,0.0,0.718+/-0.077,0.767+/-0.056,0.786+/-0.031,0.803+/-0.026
CHEMBL1243970,0.5,0.5,0.0,0.0,0.698+/-0.057,0.706+/-0.05,0.757+/-0.045,0.754+/-0.037
CHEMBL1613777,0.498046875,0.4924309264561622,0.0,0.0,0.534+/-0.052,0.573+/-0.03,0.604+/-0.028,0.643+/-0.032
CHEMBL1613800,0.392578125,0.39695246941459644,0.0,0.0,0.432+/-0.014,0.444+/-0.014,0.461+/-0.02,0.48+/-0.015
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.576+/-0.046,0.59+/-0.026,0.642+/-0.037,0.671+/-0.092
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.586+/-0.037,0.616+/-0.044,0.612+/-0.053,0.635+/-0.128
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.667+/-0.058,0.707+/-0.079,0.737+/-0.044,0.872+/-0.125
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.488+/-0.07,0.555+/-0.06,0.636+/-0.082,0.687+/-0.099
CHEMBL1614027,0.5,0.49914744627116436,0.0,0.0,0.562+/-0.036,0.606+/-0.05,0.656+/-0.044,0.711+/-0.02
CHEMBL1614110,0.439453125,0.44192354821774615,,,0.541+/-nan,0.544+/-nan,0.593+/-nan,0.599+/-nan
CHEMBL1614153,0.330078125,0.3348740790461483,0.0,0.0,0.359+/-0.024,0.376+/-0.023,0.378+/-0.024,0.407+/-0.01
CHEMBL1614202,0.4921875,0.4858484433021101,,,0.707+/-nan,0.761+/-nan,0.828+/-nan,0.834+/-nan
CHEMBL1614213,0.478515625,0.47433679475339685,,,0.463+/-nan,0.484+/-nan,0.491+/-nan,0.507+/-nan
CHEMBL1614259,0.306640625,0.3011980574241034,,,0.492+/-nan,0.51+/-nan,0.543+/-nan,0.464+/-nan
CHEMBL1614292,0.353515625,0.34999988892165423,0.0,0.0,0.366+/-0.023,0.381+/-0.023,0.386+/-0.026,0.398+/-0.032
CHEMBL1614423,0.376953125,0.3800240448932004,0.0,0.0,0.73+/-0.067,0.774+/-0.025,0.802+/-0.02,0.816+/-0.029
CHEMBL1614432,0.4453125,0.4494264815796778,,,0.472+/-nan,0.451+/-nan,0.457+/-nan,0.476+/-nan
CHEMBL1614433,0.4296875,0.42403098276598805,0.0,0.0,0.455+/-0.029,0.474+/-0.024,0.483+/-0.021,0.503+/-0.034
CHEMBL1614466,0.421875,0.4186333206035626,0.0,0.0,0.459+/-0.056,0.484+/-0.047,0.511+/-0.04,0.541+/-0.032
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.454+/-0.063,0.488+/-0.062,0.558+/-0.067,0.678+/-0.264
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.851+/-0.031,0.874+/-0.023,0.878+/-0.014,0.892+/-0.037
CHEMBL1614522,0.5,0.4985616642148245,0.0,0.0,0.571+/-0.04,0.6+/-0.034,0.615+/-0.027,0.634+/-0.025
