TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.573+/-0.046,0.563+/-0.059,0.622+/-0.049,0.66+/-0.081
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.694+/-0.048,0.744+/-0.065,0.783+/-0.045,0.808+/-0.143
CHEMBL1119333,0.5,0.49857697037678794,0.0,0.0,0.664+/-0.044,0.693+/-0.044,0.731+/-0.03,0.77+/-0.031
CHEMBL1243967,0.5,0.5,0.0,0.0,0.757+/-0.091,0.781+/-0.027,0.789+/-0.02,0.803+/-0.021
CHEMBL1243970,0.5,0.5,0.0,0.0,0.718+/-0.039,0.746+/-0.019,0.781+/-0.044,0.769+/-0.035
CHEMBL1613777,0.498046875,0.4924309264561622,0.0,0.0,0.535+/-0.04,0.565+/-0.025,0.585+/-0.025,0.626+/-0.027
CHEMBL1613800,0.392578125,0.39695246941459644,0.0,0.0,0.442+/-0.025,0.452+/-0.031,0.474+/-0.022,0.506+/-0.012
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.545+/-0.055,0.562+/-0.044,0.592+/-0.047,0.62+/-0.072
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.584+/-0.031,0.614+/-0.03,0.642+/-0.049,0.621+/-0.116
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.725+/-0.048,0.756+/-0.056,0.782+/-0.038,0.857+/-0.157
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.572+/-0.074,0.628+/-0.048,0.658+/-0.06,0.653+/-0.113
CHEMBL1614027,0.5,0.49914744627116436,0.0,0.0,0.542+/-0.032,0.577+/-0.025,0.618+/-0.039,0.685+/-0.021
CHEMBL1614153,0.330078125,0.3348740790461483,0.0,0.0,0.365+/-0.021,0.377+/-0.022,0.377+/-0.021,0.396+/-0.016
CHEMBL1614292,0.353515625,0.34999988892165423,0.0,0.0,0.361+/-0.016,0.375+/-0.02,0.383+/-0.018,0.398+/-0.022
CHEMBL1614423,0.376953125,0.3800240448932004,0.0,0.0,0.675+/-0.069,0.742+/-0.025,0.765+/-0.019,0.783+/-0.022
CHEMBL1614433,0.4296875,0.42403098276598805,0.0,0.0,0.455+/-0.032,0.471+/-0.024,0.476+/-0.028,0.513+/-0.026
CHEMBL1614466,0.421875,0.4186333206035626,0.0,0.0,0.471+/-0.053,0.506+/-0.045,0.531+/-0.018,0.545+/-0.032
