TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.571+/-0.041,0.586+/-0.036,0.602+/-0.025,0.575+/-0.045
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.687+/-0.052,0.742+/-0.079,0.796+/-0.039,0.813+/-0.139
CHEMBL1119333,0.5,0.49857697037678794,0.0,0.0,0.802+/-0.033,0.827+/-0.012,0.836+/-0.015,0.858+/-0.015
CHEMBL1243967,0.5,0.5,0.0,0.0,0.831+/-0.024,0.847+/-0.024,0.861+/-0.018,0.868+/-0.021
CHEMBL1243970,0.5,0.5,0.0,0.0,0.782+/-0.034,0.81+/-0.031,0.829+/-0.028,0.837+/-0.029
CHEMBL1613777,0.498046875,0.4924309264561622,0.0,0.0,0.507+/-0.014,0.527+/-0.019,0.548+/-0.026,0.582+/-0.031
CHEMBL1613800,0.392578125,0.39695246941459644,0.0,0.0,0.43+/-0.032,0.429+/-0.018,0.449+/-0.02,0.466+/-0.011
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.602+/-0.049,0.602+/-0.035,0.626+/-0.04,0.657+/-0.076
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.527+/-0.05,0.549+/-0.05,0.564+/-0.049,0.607+/-0.125
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.65+/-0.039,0.698+/-0.052,0.733+/-0.038,0.794+/-0.167
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.667+/-0.038,0.686+/-0.04,0.695+/-0.04,0.741+/-0.105
CHEMBL1614027,0.5,0.49914744627116436,0.0,0.0,0.523+/-0.021,0.55+/-0.022,0.582+/-0.022,0.614+/-0.016
CHEMBL1614153,0.330078125,0.3348740790461483,0.0,0.0,0.351+/-0.029,0.365+/-0.037,0.371+/-0.022,0.4+/-0.014
CHEMBL1614292,0.353515625,0.34999988892165423,0.0,0.0,0.37+/-0.02,0.376+/-0.015,0.391+/-0.02,0.395+/-0.013
CHEMBL1614423,0.376953125,0.3800240448932004,0.0,0.0,0.508+/-0.034,0.516+/-0.069,0.597+/-0.037,0.674+/-0.042
CHEMBL1614433,0.4296875,0.42403098276598805,0.0,0.0,0.48+/-0.034,0.493+/-0.029,0.504+/-0.024,0.528+/-0.029
CHEMBL1614466,0.421875,0.4186333206035626,0.0,0.0,0.491+/-0.027,0.512+/-0.027,0.531+/-0.032,0.554+/-0.019
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.496+/-0.037,0.511+/-0.044,0.536+/-0.076,0.787+/-0.25
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.799+/-0.039,0.845+/-0.022,0.866+/-0.022,0.878+/-0.046
