TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.546+/-0.04,0.559+/-0.047,0.612+/-0.031,0.607+/-0.061
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.693+/-0.055,0.734+/-0.05,0.808+/-0.02,0.78+/-0.115
CHEMBL1119333,0.5,0.49857697037678794,0.0,0.0,0.759+/-0.025,0.749+/-0.026,0.741+/-0.02,0.747+/-0.02
CHEMBL1243967,0.5,0.5,0.0,0.0,0.77+/-0.051,0.794+/-0.044,0.798+/-0.032,0.809+/-0.039
CHEMBL1243970,0.5,0.5,0.0,0.0,0.697+/-0.062,0.727+/-0.037,0.725+/-0.039,0.71+/-0.037
CHEMBL1613777,0.498046875,0.4924309264561622,0.0,0.0,0.512+/-0.024,0.525+/-0.024,0.543+/-0.037,0.494+/-0.009
CHEMBL1613800,0.392578125,0.39695246941459644,0.0,0.0,0.43+/-0.016,0.441+/-0.014,0.448+/-0.019,0.44+/-0.015
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.542+/-0.05,0.571+/-0.04,0.603+/-0.049,0.637+/-0.086
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.54+/-0.043,0.563+/-0.048,0.605+/-0.032,0.607+/-0.119
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.7+/-0.047,0.74+/-0.044,0.761+/-0.032,0.78+/-0.186
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.611+/-0.064,0.631+/-0.069,0.65+/-0.079,0.62+/-0.126
CHEMBL1614027,0.5,0.49914744627116436,0.0,0.0,0.53+/-0.043,0.551+/-0.021,0.588+/-0.014,0.608+/-0.017
CHEMBL1614153,0.330078125,0.3348740790461483,0.0,0.0,0.348+/-0.032,0.363+/-0.026,0.363+/-0.021,0.365+/-0.013
CHEMBL1614292,0.353515625,0.34999988892165423,0.0,0.0,0.367+/-0.014,0.365+/-0.017,0.364+/-0.012,0.365+/-0.015
CHEMBL1614423,0.376953125,0.3800240448932004,0.0,0.0,0.46+/-0.07,0.494+/-0.096,0.543+/-0.052,0.584+/-0.047
CHEMBL1614433,0.4296875,0.42403098276598805,0.0,0.0,0.463+/-0.034,0.469+/-0.034,0.457+/-0.024,0.452+/-0.013
CHEMBL1614466,0.421875,0.4186333206035626,0.0,0.0,0.438+/-0.02,0.479+/-0.019,0.48+/-0.018,0.483+/-0.021
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.411+/-0.06,0.436+/-0.069,0.424+/-0.079,0.557+/-0.181
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.823+/-0.035,0.83+/-0.033,0.847+/-0.024,0.855+/-0.046
CHEMBL1614522,0.5,0.4985616642148245,0.0,0.0,0.609+/-0.039,0.628+/-0.022,0.634+/-0.012,0.642+/-0.007
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.668+/-0.059,0.695+/-0.04,0.68+/-0.035,0.685+/-0.085
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.481+/-0.029,0.481+/-0.019,0.487+/-0.018,0.505+/-0.023
