TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.58+/-0.042,0.591+/-0.034,0.603+/-0.026,0.565+/-0.045
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.696+/-0.061,0.759+/-0.082,0.818+/-0.041,0.838+/-0.129
CHEMBL1119333,0.5,0.49857697037678794,0.0,0.0,0.813+/-0.027,0.829+/-0.011,0.843+/-0.013,0.869+/-0.017
CHEMBL1243967,0.5,0.5,0.0,0.0,0.829+/-0.029,0.851+/-0.02,0.861+/-0.019,0.871+/-0.024
CHEMBL1243970,0.5,0.5,0.0,0.0,0.776+/-0.041,0.806+/-0.03,0.826+/-0.028,0.848+/-0.028
CHEMBL1613777,0.498046875,0.4924309264561622,0.0,0.0,0.505+/-0.02,0.532+/-0.02,0.557+/-0.03,0.591+/-0.03
CHEMBL1613800,0.392578125,0.39695246941459644,0.0,0.0,0.43+/-0.034,0.432+/-0.02,0.452+/-0.02,0.458+/-0.013
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.607+/-0.035,0.605+/-0.03,0.616+/-0.041,0.635+/-0.091
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.546+/-0.049,0.571+/-0.052,0.589+/-0.047,0.642+/-0.122
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.665+/-0.045,0.708+/-0.05,0.75+/-0.04,0.879+/-0.161
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.684+/-0.041,0.703+/-0.044,0.724+/-0.045,0.777+/-0.114
CHEMBL1614027,0.5,0.49914744627116436,0.0,0.0,0.528+/-0.023,0.556+/-0.022,0.588+/-0.027,0.63+/-0.02
CHEMBL1614153,0.330078125,0.3348740790461483,0.0,0.0,0.357+/-0.029,0.369+/-0.037,0.381+/-0.025,0.413+/-0.011
CHEMBL1614292,0.353515625,0.34999988892165423,0.0,0.0,0.372+/-0.021,0.375+/-0.015,0.388+/-0.022,0.382+/-0.015
CHEMBL1614423,0.376953125,0.3800240448932004,0.0,0.0,0.562+/-0.028,0.594+/-0.061,0.683+/-0.027,0.747+/-0.024
CHEMBL1614433,0.4296875,0.42403098276598805,0.0,0.0,0.48+/-0.029,0.495+/-0.028,0.506+/-0.026,0.538+/-0.034
CHEMBL1614466,0.421875,0.4186333206035626,0.0,0.0,0.487+/-0.034,0.507+/-0.035,0.526+/-0.031,0.537+/-0.023
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.507+/-0.036,0.531+/-0.055,0.572+/-0.084,0.862+/-0.197
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.822+/-0.034,0.86+/-0.02,0.88+/-0.019,0.895+/-0.043
CHEMBL1614522,0.5,0.4985616642148245,0.0,0.0,0.582+/-0.019,0.599+/-0.031,0.612+/-0.028,0.634+/-0.024
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.675+/-0.067,0.738+/-0.059,0.784+/-0.057,0.827+/-0.068
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.529+/-0.052,0.544+/-0.045,0.56+/-0.033,0.618+/-0.031
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.481+/-0.079,0.51+/-0.034,0.568+/-0.085,0.654+/-0.166
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.539+/-0.052,0.513+/-0.04,0.532+/-0.035,0.573+/-0.028
CHEMBL1738485,0.5,0.5,0.0,0.0,0.544+/-0.028,0.55+/-0.034,0.558+/-0.037,0.577+/-0.037
CHEMBL1738502,0.357421875,0.35210395325765964,0.0,0.0,0.479+/-0.07,0.512+/-0.058,0.554+/-0.044,0.575+/-0.031
CHEMBL1738573,0.5,0.5,0.0,0.0,0.518+/-0.021,0.53+/-0.023,0.54+/-0.021,0.563+/-0.018
CHEMBL1738579,0.4765625,0.4730754904010718,0.0,0.0,0.588+/-0.036,0.628+/-0.043,0.628+/-0.04,0.684+/-0.065
CHEMBL1738633,0.5,0.4898738735401718,0.0,0.0,0.624+/-0.048,0.665+/-0.07,0.692+/-0.03,0.697+/-0.084
CHEMBL1794324,0.4921875,0.48519358066930485,0.0,0.0,0.582+/-0.05,0.607+/-0.024,0.623+/-0.028,0.652+/-0.021
CHEMBL1794504,0.501953125,0.5085318816521824,0.0,0.0,0.701+/-0.06,0.753+/-0.038,0.787+/-0.049,0.75+/-0.264
CHEMBL1794519,0.5,0.5,0.0,0.0,0.782+/-0.025,0.797+/-0.025,0.817+/-0.029,0.834+/-0.065
CHEMBL1794557,0.5,0.5,0.0,0.0,0.531+/-0.025,0.547+/-0.027,0.555+/-0.024,0.557+/-0.023
CHEMBL1963701,0.5,0.5,0.0,0.0,0.618+/-0.045,0.675+/-0.031,0.715+/-0.027,0.76+/-0.021
CHEMBL1963705,0.4296875,0.42395660343878344,0.0,0.0,0.839+/-0.015,0.848+/-0.016,0.861+/-0.008,0.872+/-0.012
CHEMBL1963715,0.375,0.377262565935505,0.0,0.0,0.703+/-0.069,0.746+/-0.036,0.788+/-0.024,0.811+/-0.013
CHEMBL1963721,0.3203125,0.3256393418410397,0.0,0.0,0.576+/-0.065,0.638+/-0.039,0.676+/-0.021,0.702+/-0.042
CHEMBL1963723,0.453125,0.4557253762957646,0.0,0.0,0.833+/-0.031,0.85+/-0.019,0.865+/-0.015,0.88+/-0.013
CHEMBL1963731,0.3828125,0.3874624838337832,0.0,0.0,0.865+/-0.016,0.881+/-0.012,0.895+/-0.013,0.92+/-0.008
CHEMBL1963741,0.4453125,0.45096640454777287,0.0,0.0,0.794+/-0.038,0.828+/-0.038,0.854+/-0.032,0.894+/-0.016
CHEMBL1963756,0.421875,0.418431956658047,0.0,0.0,0.828+/-0.026,0.844+/-0.008,0.851+/-0.014,0.864+/-0.011
CHEMBL1963773,0.421875,0.418430016004123,0.0,0.0,0.708+/-0.052,0.747+/-0.053,0.778+/-0.03,0.803+/-0.021
CHEMBL1963799,0.3828125,0.3877337573718289,0.0,0.0,0.781+/-0.014,0.793+/-0.023,0.798+/-0.027,0.833+/-0.024
CHEMBL1963810,0.484375,0.4819519992882702,0.0,0.0,0.856+/-0.019,0.866+/-0.012,0.884+/-0.011,0.887+/-0.013
CHEMBL1963818,0.443359375,0.4495618391779858,0.0,0.0,0.821+/-0.016,0.835+/-0.012,0.846+/-0.012,0.861+/-0.013
CHEMBL1963819,0.353515625,0.35022318348111087,0.0,0.0,0.741+/-0.082,0.794+/-0.021,0.812+/-0.029,0.838+/-0.019
CHEMBL1963824,0.453125,0.4538767904726043,0.0,0.0,0.64+/-0.072,0.682+/-0.067,0.732+/-0.039,0.773+/-0.028
CHEMBL1963825,0.453125,0.4530428989852781,0.0,0.0,0.799+/-0.022,0.809+/-0.022,0.82+/-0.026,0.821+/-0.041
CHEMBL1963827,0.498046875,0.495965737938281,0.0,0.0,0.874+/-0.014,0.885+/-0.006,0.896+/-0.005,0.9+/-0.007
CHEMBL1963831,0.3828125,0.38699198546867714,0.0,0.0,0.787+/-0.018,0.801+/-0.025,0.817+/-0.023,0.832+/-0.03
CHEMBL1963838,0.5,0.5,0.0,0.0,0.593+/-0.047,0.609+/-0.052,0.652+/-0.042,0.662+/-0.069
CHEMBL1963910,0.5,0.5,0.0,0.0,0.619+/-0.075,0.62+/-0.053,0.672+/-0.049,0.694+/-0.052
CHEMBL1963969,0.5,0.5,0.0,0.0,0.608+/-0.043,0.602+/-0.05,0.617+/-0.029,0.598+/-0.029
CHEMBL1964005,0.5,0.4936052220606886,0.0,0.0,0.619+/-0.073,0.616+/-0.076,0.662+/-0.051,0.668+/-0.074
CHEMBL1964101,0.5,0.49892700021117087,0.0,0.0,0.773+/-0.031,0.799+/-0.016,0.815+/-0.016,0.837+/-0.014
CHEMBL1964106,0.333984375,0.33893882205764136,0.0,0.0,0.755+/-0.075,0.796+/-0.02,0.824+/-0.025,0.842+/-0.029
CHEMBL1964115,0.431640625,0.4258287837553628,0.0,0.0,0.824+/-0.025,0.842+/-0.02,0.851+/-0.019,0.871+/-0.024
CHEMBL2218946,0.494140625,0.48868599468282325,0.0,0.0,0.764+/-0.047,0.788+/-0.03,0.815+/-0.045,0.885+/-0.073
CHEMBL2218957,0.5,0.49245904432821336,0.0,0.0,0.848+/-0.03,0.869+/-0.039,0.882+/-0.037,0.915+/-0.041
CHEMBL2218959,0.5,0.49245904432821336,0.0,0.0,0.835+/-0.07,0.864+/-0.016,0.874+/-0.016,0.904+/-0.078
CHEMBL2218989,0.5,0.49245904432821336,0.0,0.0,0.899+/-0.029,0.913+/-0.022,0.928+/-0.032,0.939+/-0.058
CHEMBL2218994,0.482421875,0.47776355130602166,0.0,0.0,0.606+/-0.041,0.677+/-0.032,0.685+/-0.035,0.764+/-0.062
CHEMBL2219020,0.5,0.49245904432821336,0.0,0.0,0.531+/-0.051,0.543+/-0.029,0.593+/-0.05,0.658+/-0.046
CHEMBL2219026,0.4765625,0.47399050166063156,0.0,0.0,0.738+/-0.117,0.831+/-0.03,0.872+/-0.022,0.891+/-0.038
CHEMBL2219028,0.5,0.49245904432821336,0.0,0.0,0.54+/-0.041,0.583+/-0.04,0.57+/-0.045,0.627+/-0.097
CHEMBL2219040,0.5,0.49245904432821336,0.0,0.0,0.824+/-0.044,0.875+/-0.019,0.891+/-0.023,0.872+/-0.075
CHEMBL2219043,0.5,0.49245904432821336,0.0,0.0,0.772+/-0.032,0.803+/-0.021,0.831+/-0.029,0.814+/-0.084
CHEMBL2219045,0.494140625,0.48868599468282325,0.0,0.0,0.779+/-0.026,0.815+/-0.022,0.825+/-0.039,0.869+/-0.07
CHEMBL2219047,0.482421875,0.47776355130602166,0.0,0.0,0.821+/-0.052,0.834+/-0.034,0.847+/-0.036,0.89+/-0.062
CHEMBL2219049,0.5,0.49245904432821336,0.0,0.0,0.807+/-0.033,0.864+/-0.034,0.893+/-0.031,0.933+/-0.025
CHEMBL2219050,0.5,0.49245904432821336,0.0,0.0,0.731+/-0.04,0.755+/-0.032,0.765+/-0.049,0.761+/-0.089
CHEMBL2219059,0.5,0.49245904432821336,0.0,0.0,0.589+/-0.058,0.63+/-0.026,0.659+/-0.048,0.747+/-0.079
CHEMBL2219070,0.482421875,0.47776355130602166,0.0,0.0,0.84+/-0.069,0.889+/-0.018,0.897+/-0.012,0.917+/-0.056
CHEMBL2219075,0.5,0.49245904432821336,0.0,0.0,0.935+/-0.022,0.944+/-0.02,0.953+/-0.024,0.974+/-0.03
CHEMBL2219076,0.494140625,0.48868599468282325,0.0,0.0,0.904+/-0.022,0.922+/-0.012,0.927+/-0.016,0.934+/-0.06
CHEMBL2219088,0.5,0.49245904432821336,0.0,0.0,0.747+/-0.056,0.797+/-0.03,0.819+/-0.027,0.833+/-0.068
CHEMBL2219093,0.484375,0.48422477299442246,0.0,0.0,0.765+/-0.057,0.787+/-0.044,0.81+/-0.043,0.822+/-0.081
CHEMBL2219098,0.482421875,0.47776355130602166,0.0,0.0,0.764+/-0.055,0.818+/-0.028,0.818+/-0.049,0.874+/-0.076
CHEMBL2219102,0.443359375,0.4459861469402566,0.0,0.0,0.59+/-0.095,0.655+/-0.035,0.692+/-0.048,0.735+/-0.092
